Canonical SMILES,Charge,name,Permeability coefficient,Accum_class
O=C(NC1CC1)[C@H]2[C@@H]3[C@@]([C@@H](O)[C@H](O)C=C3[C@H]4[C@@]25CC([C@@](CC4)(O)C5)=C)(C(O)=O)C,-,2-50,63.0,Low
O=C(NCc1sccc1)[C@H]2[C@@H]3[C@@]([C@@H](O)[C@H](O)C=C3[C@H]4[C@@]25CC([C@@](CC4)(O)C5)=C)(C(O)=O)C,-,2-51,61.0,Low
O=C(O)[C@H]1c2c(C)cccc2[C@@H]3[C@@]14CC([C@@](CC3)(O)C4)=C,-,2-52,56.0,Low
O=C(NCCc1cc(OCO2)c2cc1)[C@H]3[C@@H]4[C@@]([C@@H](O)[C@H](O)C=C4[C@H]5[C@@]36CC([C@@](CC5)(O)C6)=C)(C(O)=O)C,-,2-53,56.0,Low
O=C(O)[C@H]1[C@@H]2[C@@]([C@@H](O)[C@H](O)C=C2[C@H]3[C@@]14CC([C@@](CC3)(O)C4)=C)(C(O)=O)C,- -,2-54,55.0,Low
O=C(O)[C@H](NC[C@@]12C(C[C@@]3([C@@H](C(O)=O)c4c(C)cccc4[C@H]3CC2)C1)=O)CC(O)=O,+ - - -,2-55,52.0,Low
O=C(O)[C@@H](NC(CC[C@@]1(C)C(CC[C@@H]2[C@@H]1C(C[C@]3(C)C(CC[C@@H]23)=O)=O)=O)=O)CC(O)=O,- -,2-56,45.0,Low
O=C(O)[C@@]1(C)[C@H]2[C@@](CCC1)(C)[C@@H]3C(C=C(C(C)C)CC3)=CC2,-,2-57,34.0,Low
O=C(NCc1c(OC)cc(OC)cc1)[C@H]2[C@@H]3[C@@]([C@@H](O)[C@H](O)C=C3[C@H]4[C@@]25CC([C@@](CC4)(O)C5)=C)(C(O)=O)C,-,2-58,17.0,Low
O=C(NCCCCO)[C@H]1[C@@H]2[C@@]([C@@H](O)[C@H](O)C=C2[C@H]3[C@@]14CC([C@@](CC3)(O)C4)=C)(C(O)=O)C,-,2-59,17.0,Low
O=C(O)CCNC(CC[C@@]1(C)C(CC[C@@H]2[C@@H]1C(C[C@]3(C)C(CC[C@@H]23)=O)=O)=O)=O,-,2-60,17.0,Low
O=C(O)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)C=C[C@@]2(OC3=O)[C@H]4[C@@]15CC([C@@](CC4)(O)C5)=C,-,2-61,15.0,Low
O(CC=C)[C@H]1[C@H]2OC[C@@H](OCC=C)[C@H]2OC1,neutral,2-62,139.0,Low
O=C(OC)[C@@H](NC(=O)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21)Cc1[nH]cnc1,neutral,2-63,118.0,Low
O=C(NCC#N)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,2-64,97.0,Low
O=C(OC)[C@@H](NC(=O)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2)CO,neutral,2-65,96.0,Low
Clc1c(F)ccc(CNC(=O)[C@H]2[C@@H]3[C@@]4(C)[C@@H](O)[C@H](OC4=O)C=C3[C@H]3[C@]42CC(=C)[C@@](O)(C4)CC3)c1,neutral,2-66,93.0,Low
O=C1[C@]2(C)[C@H]([C@H]3[C@H](C(=O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1,neutral,2-67,92.0,Low
O=C(N1CCOCC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,2-68,91.0,Low
O=C1[C@]2(CI)C[C@@]3(C1)[C@@H](C(OC)=O)C([C@@]4(C=C5)[C@]3([H])CC2)[C@](C)(C(O4)=O)[C@H]5O,neutral,2-69,89.0,Low
O=C(OC)CNC(=O)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21,neutral,2-70,85.0,Low
O=C(NCCO)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,2-71,83.0,Low
O=C(NCCO)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)C=C[C@@]2(OC3=O)[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,2-72,80.0,Low
O=C1NCC[C@]2(C)[C@H]3C(=O)C=C(C)[C@@H](CCC#N)[C@@H]3CCC2=C1,neutral,2-73,80.0,Low
Clc1cc(CNC(=O)[C@H]2[C@@H]3[C@@]4(C)[C@@H](O)[C@H](OC4=O)C=C3[C@H]3[C@]42CC(=C)[C@@](O)(C4)CC3)ccc1,neutral,2-74,75.0,Low
O=C(N1CCC(O)CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,2-75,69.0,Low
O[C@@]12C(=C)C[C@]3([C@@H](CC#N)c4c(C)cccc4[C@H]3CC1)C2,neutral,2-76,65.0,Low
O=C1NCC[C@]2(C)[C@H]3[C@H](O)C=C(C)[C@@H](CCC#N)[C@@H]3CCC2=C1,neutral,2-77,61.0,Low
O=C1[C@@H]2[C@]3(C)C(=CNC(=O)CC3)CC[C@H]2[C@H](CCC#N)C(C)=C1,neutral,2-78,59.0,Low
O=C(NCCc1cc2OCOc2cc1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,2-79,55.0,Low
O=C(OC)[C@H]1[C@@H]2[C@@](C(=O)OC)(C)[C@@H](O)C=CC2=C2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,2-80,53.0,Low
O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2,neutral,2-81,53.0,Low
O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](C=O)(C3)CC2,neutral,2-82,52.0,Low
O=C(NCC1CCCCC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2,neutral,2-83,50.0,Low
O=C(OCC)CCNC(=O)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,2-84,48.0,Low
O=C(OCC=C)N[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)C=C[C@@]2(OC3=O)[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,2-85,46.0,Low
O=C(OCC)CCNC(=O)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21,neutral,2-86,46.0,Low
O=C1[C@@H]2[C@]3(C)[C@]4(O[C@H]4C[C@H]2[C@H]2[C@@](C)(C4(OCCO4)CC2)C1)CC1(OCCO1)CC3,neutral,2-87,44.0,Low
O=C1[C@@H]2[C@]3(C)C(=CC[C@H]2[C@H]2[C@@](C)(C4(OCCO4)CC2)C1)CC1(OCCO1)CC3,neutral,2-88,40.0,Low
O[C@@H]1[C@@H]2[C@]3(C)C(=CC[C@H]2[C@H]2[C@@](C)(C4(OCCO4)CC2)C1)CC1(OCCO1)CC3,neutral,2-89,40.0,Low
O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,2-90,33.0,Low
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](OS(=O)(=O)C)[C@H]2OC1)C,neutral,2-91,31.0,Low
