No.	NAME	IDDE	rGes	Yindex	IC1	IC3	TIC1	SIC0	CIC3	BIC1	BIC5
354	4-28a	4.26269239083962	0.91304347826087	1.24255449495328	3.40679838195097	4.92119213163284	183.967112625353	0.258810452218463	0.833695370530626	0.584066967434293	0.843697055778883
355	Ampcillin	4.25162916738782	0.833333333333333	0.680641933744568	3.67926178225318	4.67173022024327	154.528994854634	0.329674469623256	0.720587202535487	0.651905657858381	0.839376947343459
356	2-18	4.52164063634332	1	0.626579996202558	3.82416474302257	5.42325179698034	214.153225609264	0.263654439241952	0.384103125077269	0.631541927854939	0.895623260309816
357	2-18	4.52164063634332	1	0.626579996202558	3.82416474302257	5.42325179698034	214.153225609264	0.263654439241952	0.384103125077269	0.631541927854939	0.895623260309816
358	4-60	4.34964891257875	1	0.942971387373547	3.43245150121946	5.15743195949129	175.055026562192	0.251903926698246	0.514993382480204	0.588464979261396	0.884198389986242
359	2-24	4.71848843747471	0.939393939393939	0.550625318677838	3.37708035697315	5.48750188447719	222.887303560228	0.247809949732364	0.556892234881266	0.540512089762042	0.878291541102197
360	2-70	4.52164063634332	1	0.697517033454319	2.85525223703533	4.9159661105421	162.749377511014	0.252184100916177	0.916923903622638	0.475875372839221	0.883655170470468
361	4-18	3.23592635062903	0.714285714285714	0.951148878208516	2.45687143891028	3.68200581476021	68.7924002894878	0.246625469211868	1.12534910729739	0.478989252648727	0.778798977403311
362	2-72	4.49468036840891	1	0.821295705497727	3.76362725421705	5.44036175893987	206.999498981938	0.257392676584049	0.340997954584791	0.629655512605357	0.910173495062674
363	2-19	4.08496250072116	1	0.63411549530319	3.64321272301056	5.23195703794861	178.517423427517	0.249293474417989	0.382752806166597	0.620610966616245	0.891249059959583
364	Tetracycline	3.97640976555739	0.96875	0.811379581206465	4.28458664229811	5.30382039522484	235.652265326396	0.282492097158361	0.477539318299825	0.708852956589282	0.877477591713986
365	2-72	4.49468036840891	1	0.821295705497727	3.76362725421705	5.44036175893987	206.999498981938	0.257392676584049	0.340997954584791	0.629655512605357	0.910173495062674
366	2-7	4.31044305771902	1	0.646786059102925	3.89097240859544	5.35981149221741	206.221537655558	0.271344807382631	0.368108962345793	0.649720700305	0.894989763621415
367	2-18	4.52164063634332	1	0.626579996202558	3.82416474302257	5.42325179698034	214.153225609264	0.263654439241952	0.384103125077269	0.631541927854939	0.895623260309816
