No.	NAME	SpMax2_Bh(m)	SpMax2_Bh(v)	SpMax1_Bh(e)	SpMax5_Bh(e)	SpMax3_Bh(p)	SpMax4_Bh(i)	SpMax2_Bh(s)	SpMax3_Bh(s)	SpMax4_Bh(s)	SpMax5_Bh(s)	SpMax6_Bh(s)	SpMax7_Bh(s)	SpMax8_Bh(s)	SpMin2_Bh(m)	SpMin3_Bh(m)	SpMin4_Bh(v)	SpMin5_Bh(v)	SpMin1_Bh(p)	SpMin7_Bh(p)	SpMin1_Bh(i)	SpMin2_Bh(i)	SpMin3_Bh(i)	SpMin1_Bh(s)	SpMin2_Bh(s)	SpMin3_Bh(s)	SpMin4_Bh(s)	SpMin5_Bh(s)
606	2-55	3.7973431781125	3.77063826201102	4.16155057364452	3.35626565855427	3.57302897821515	3.47702400385529	7.60646418615849	7.60299067582527	7.42553885666285	6.9991464344041	6.99900000000001	6.999	4.73538116479199	2.01977432946295	1.90032509347561	1.75552046470563	1.53533676745533	2.05582173988569	1.39676540214837	1.91877976169925	1.84398230136337	1.68893090822247	1.52483241417684	1.26406846707441	1.242433197417	1.08280016871116	0.847371143875559
607	2-21	3.86607770587071	3.8137419829461	4.21515451413838	3.52444826329959	3.75325605686964	3.8409621635458	7.42740245225034	7.4240565266722	6.44827324999968	4.80758810157931	4.4359908645462	4.3494745626322	4.30226822755419	1.9835534617224	1.95832086448231	1.77404524952632	1.62644745937154	2.06483221727638	1.47162666715938	1.85871514250864	1.80026857253476	1.70677471667354	1.53491817238983	1.43673730050557	1.28651935017445	1.12993643680005	0.923141102955248
608	4-33	3.75392398847177	3.69363782158699	4.14660692973167	3.32710712192629	3.44773506092607	3.47860872226512	5.05924549567055	4.93434572320465	4.61109536170797	4.36808340880234	4.21292974346627	3.98665977769048	3.82010163506803	1.86183221889888	1.82269712300375	1.59848404835613	1.53846614341422	2.20466749816117	1.37906978554606	2.05895799768582	1.71031306618049	1.53746190567989	1.64390116688706	1.11581323373706	1.06787311497471	0.970744216455442	0.663132151609575
609	2-12	3.90257053630333	3.87290120270819	4.1188698220577	3.30046078394337	3.44997364158282	3.49979383828944	4.92861631800425	4.71793014557521	4.6488863652461	4.30565606286103	4.12262986839459	3.85850766198537	3.47796836956165	2.08951577795157	1.74502371579189	1.64080400427632	1.54301966354002	2.19666826234738	1.37535526035928	2.03789476374556	1.9268996822018	1.50922225508016	1.61938233115697	1.26296558583557	0.950665799054979	0.85467426289378	0.779331034828342
610	3-24	3.93167879723717	3.82041298221579	4.10509079285712	3.46848656065866	3.60594067120282	3.59420372722648	5.01319090785649	4.71579201816144	4.65668419411722	4.32775981483111	4.25995631700187	4.12248858957274	3.92629662320573	2.07499706354528	1.91907011106136	1.6916704087156	1.65787665430501	2.12834738020589	1.39055360895404	2.0255599503206	1.85222009239912	1.59541091372043	1.51419842840791	1.288220249578	1.17174097795367	0.943514167308689	0.83989581800002
611	2-23	3.76202690148554	3.75274010655097	4.16180789254123	3.30777027691546	3.40822199187073	3.39850833052424	6.45821511136867	6.45323743199994	4.74995108806947	4.28082054115464	4.04698835412484	3.87072558557571	3.6103710871303	2.03348100904067	1.86297706180075	1.73021046125568	1.4988215163809	2.03256435293856	1.36266112582755	1.91765040300918	1.83033993285232	1.62722432683101	1.51738739115314	1.30530501695504	1.15111355973888	1.03212883975546	0.833267940506517
612	4-55	3.70870900903585	3.7152166857132	4.09001543428511	3.31616030999323	3.4383702803806	3.50273682881942	4.52705725585865	4.21875768914879	4.02749489774562	3.83039357001435	3.74810870461418	3.62213898174487	3.46709628829486	2.02891923315898	1.84984697777842	1.67995696515122	1.59048473555815	2.16765674110965	1.30777794909837	2.03360403726444	1.78572760976904	1.51770450454628	1.63471575855808	1.34175145603845	1.10457541827058	1.00234609643299	0.899005824136393
613	4-30	3.81983506432244	3.77903508926689	4.1611587032286	3.21719843362488	3.33566915590797	3.46537888661944	6.45057737517891	6.4449505670572	4.71961923491066	4.57966998464875	4.45486345366532	4.10948158688982	3.85197936170213	2.00717679226344	1.84817968755599	1.64794823875474	1.59171091457001	2.00097754057902	1.24462716666616	1.86192567070004	1.80837862392421	1.64312851206677	1.48442414118903	1.41605395972155	1.12505835972901	0.848483986583619	0.761485388275921
614	4-28a	3.57733415944086	3.55127721898911	3.96138360990447	3.31467472525312	3.42249383172785	3.59581942512673	7.42739725527097	5.02107553042041	4.60336393727055	4.56815242431518	4.19847019552908	4.01911322995763	3.91822149805409	1.95899724791918	1.89007411914489	1.71756372928159	1.63810647275981	2.0591240844143	1.42577640652267	1.86113958775621	1.64850810723935	1.52526321932301	1.36909936314846	1.24831561657395	1.07575443464511	0.869064227201406	0.752333198679803
615	4-58	4.07390304060436	4.03300972293182	4.22314469787149	3.44413008215498	3.63810943236828	3.78106085759148	7.40797463286358	4.95316727729939	4.88418583971533	4.56480279991428	4.33909129206478	4.2826867848581	4.10361117349104	2.04125939627495	2.01314901432697	1.82355986731259	1.7454299060448	2.08080094892169	1.55092631929072	1.94513653703599	1.90786318596384	1.8412407650919	1.4402946312999	1.20826713642709	1.15405463470989	0.950307977762936	0.837292140149207
616	2-24	3.88028019145013	3.83184869438771	4.21607929550385	3.53556833567234	3.75325702207892	3.8990899185968	7.42740171161314	7.4240562515909	6.44826810508214	4.8073699877901	4.41273839405178	4.34696536208447	4.29938000240885	1.95957621193375	1.83879652909064	1.68514517263417	1.59985629253231	2.02145992648434	1.40358385320365	1.84914694269313	1.79916848777919	1.6317389537368	1.5329452820454	1.43673700460392	1.23081400223747	1.00174388556055	0.865011621949067
617	2-41	3.93667950058992	3.90517078095616	4.14470263504718	3.38756568422914	3.62121665156634	3.69558203960153	5.06514378280839	4.79327096031302	4.57381747161866	4.37205766415608	4.32504749471118	4.14775539775649	4.06611733468162	2.03707842476077	1.9513835659912	1.77784141319612	1.56157030610833	2.17833610850513	1.40960844551384	2.0695930532797	1.92940169386392	1.67386574103372	1.47722902601237	1.1788606044621	1.11783718146783	0.949885909372432	0.740018930496937
618	2-96	3.82109813346896	3.7381853096432	4.07952645925917	3.04296985046291	3.50839589615581	3.34129780267926	6.999	6.44964979488717	5.09363389965518	4.76600684403637	4.49910781833582	4.30008028435248	4.12366276103436	1.73591942245017	1.70700357808001	1.50999565117908	1.4412930358459	2.02472808897377	0.93255431018085	1.95760770299625	1.56207705323557	1.48048856466427	1.1905692936994	1.12256782905894	0.996250733163813	0.641540990766088	0.474794815605714
619	4-60	3.6686246834769	3.61995042685524	4.14866322283236	3.30495703733193	3.39595115791011	3.5732569663407	4.94351714536555	4.59729674310703	4.45100720697875	4.28518068969626	4.18285192439901	3.8205070326877	3.59796003497541	1.89158144128955	1.82590158879457	1.74339875341544	1.55502225459298	2.17130071617591	1.36760344224423	2.01972249283371	1.72250689101219	1.4656822596346	1.62452422258324	1.10040634764916	1.06784827028473	1.05520484018548	0.844967623525406
620	4-55a	3.50507506061316	3.36460287610818	3.9564327890511	2.85037904387981	3.15173510178816	3.10877952820941	4.99437333058955	4.84522397539258	4.45977680374686	4.26613391202372	4.16379181597376	3.06472564338919	2.88313069997901	1.75742734730067	1.63896518400613	1.46516187574538	1.28414651769312	1.90004347567371	0.584291784299885	1.57488447235474	1.52620763379646	1.32503179685679	1.20898936213374	1.04036393585762	0.728927248218674	0.64433569702208	0.230881829871535
621	2-5	3.74577750661622	3.74675588106062	4.15092753039257	3.16900633043897	3.25968339251508	3.42759173504615	4.80294441225745	4.61712183322903	4.45213682550204	4.05282187472822	3.86036290951044	3.53861009349524	3.47828985703067	2.00747525545044	1.84991721721481	1.62935345877565	1.45639558607311	2.01504690707868	1.12584555299617	1.91465816119622	1.80077757911396	1.64129716612552	1.47796723006893	1.25316389863071	1.10528970283534	0.789390421321402	0.606162973320489
622	2-2	4.72802608090423	3.75742523800372	4.0766456759308	2.99959365803204	3.55729488962658	3.43521258224833	6.999	4.84892885982275	4.70742481809402	4.44905237953789	4.2658834054694	4.10755892027547	3.67422186320598	1.86086226043295	1.71285039636113	1.4948411339203	1.45258288509855	1.99673274763347	1.06232042872336	1.95684804558556	1.57698895099142	1.53469342583204	1.21696005720652	1.1418788824582	1.0319779586114	0.646241529076551	0.45664637143677
623	2-2	4.72802608090423	3.75742523800372	4.0766456759308	2.99959365803204	3.55729488962658	3.43521258224833	6.999	4.84892885982275	4.70742481809402	4.44905237953789	4.2658834054694	4.10755892027547	3.67422186320598	1.86086226043295	1.71285039636113	1.4948411339203	1.45258288509855	1.99673274763347	1.06232042872336	1.95684804558556	1.57698895099142	1.53469342583204	1.21696005720652	1.1418788824582	1.0319779586114	0.646241529076551	0.45664637143677
624	2-4	3.75617686167739	3.76011015192727	4.16261954428916	3.249790739526	3.34964579120515	3.50921800886873	4.5878723129466	4.52498842656095	4.1888524716987	3.89005449326347	3.82647787279086	3.59208303424839	3.42346714000156	2.03986473338388	1.93108517308959	1.76644508793397	1.5082627477857	2.0235185525259	1.37447296532884	1.91933436297617	1.83661625052091	1.66485783496437	1.51973001915354	1.34020655672872	1.24231022750545	0.8893611266786	0.797555682268435
625	3-39	3.8510827337786	3.76487648951197	4.07718044947547	3.1600087128941	3.51493087054351	3.49240535603503	6.999	4.81616404729579	4.71170140564464	4.33180776971446	4.18663497941516	4.08208437105916	3.67422186320598	1.91898165236342	1.71475326763057	1.51524911509235	1.50893449138434	2.0122683752641	1.06232042872336	1.95525385277322	1.61079241082192	1.54777927618562	1.26820366365229	1.14802867691588	1.05661744850397	0.716812416156451	0.628834350662139
626	4-15	3.48365894053887	3.49127258541844	3.9805669934675	2.87364625672646	3.07294283888937	3.0091518667864	4.48684992018706	4.19584586621455	3.67422186320598	3.46709628829486	3.46709628829486	3.39179995585818	2.59416398196052	1.89631826700426	1.64257235152419	1.30812642080203	1.30812642080203	2.06218797335138	0.941431753256685	1.94178471075123	1.58357534047521	1.19997862074523	1.29872762414355	1.04934860251429	0.657669859879065	0.469096288294859	0.469096288294858
627	2-7	3.93128431255298	3.8134740342746	4.10358195646091	3.33238468861734	3.58135708691342	3.54100287831308	5.01319998964519	4.73788476972628	4.65668611655712	4.50340510605313	4.28389133428101	4.12249310972582	3.92431657684694	2.06698715876371	1.83629126887671	1.66622706962227	1.59869018195965	2.12765382090117	1.39018166232088	2.02552049219246	1.84414587325062	1.54694188522008	1.50463554690183	1.27567364009747	1.05339041878279	0.923513935015127	0.683751755143054
628	4-62	3.75467139131432	3.73219978818031	4.10128646807899	3.3398831175291	3.46684531983974	3.53590458453354	6.44563286109539	4.63620663365763	4.50829097401533	4.36049157845315	4.14448449125587	4.04752034302299	3.88916190921011	2.03137522252491	1.84818362669818	1.70039984255653	1.62178615944844	2.17126503348098	1.49518780441183	2.03615905727339	1.79979194161505	1.54226616918406	1.65018412835563	1.39927432867349	1.11891801283153	1.00728130580177	0.902245537281123
629	4-17	3.60658388243391	3.62071458664008	4.10072313854988	2.81251628374732	3.16301937538873	2.99912523689194	4.55688478922444	4.43986805279342	3.73227448624758	3.63557058872125	3.56068468585659	3.04749725574282	2.34888488087574	1.98771316400651	1.62919810846186	1.1282606257756	1.09618071542885	1.98428164758776	0.797676864555557	1.90803503080385	1.8279385611717	1.25491881521386	1.15038244033186	1.14822345295616	0.641796644076459	0.283887740888164	0.150449085538804
