No.	NAME	P_VSA_LogP_2	P_VSA_LogP_3	P_VSA_LogP_4	P_VSA_LogP_5	P_VSA_LogP_6	P_VSA_LogP_8	P_VSA_MR_1	P_VSA_MR_2	P_VSA_MR_4	P_VSA_MR_5	P_VSA_MR_6	P_VSA_MR_7	P_VSA_MR_8	P_VSA_m_1	P_VSA_m_2	P_VSA_m_3	P_VSA_m_4	P_VSA_e_2	P_VSA_e_4	P_VSA_i_1	P_VSA_i_4	P_VSA_s_3	P_VSA_s_4	P_VSA_s_5	P_VSA_ppp_L	P_VSA_ppp_P	P_VSA_ppp_D	P_VSA_ppp_con	P_VSA_ppp_hal	P_VSA_ppp_cyc	P_VSA_charge_1	P_VSA_charge_2	P_VSA_charge_3	P_VSA_charge_5	P_VSA_charge_6	P_VSA_charge_7	P_VSA_charge_10	P_VSA_charge_11	P_VSA_charge_12	P_VSA_charge_13	P_VSA_charge_14
2383	3-43	29.0924188353828	47.3812373671506	32.9996636628193	3.18557495074004	16.6630074346403	0	191.881794135105	0	0	13.7771546491326	50.5668123178907	16.6630074346403	0	176.566529948855	127.871682811589	32.9996636628193	0	64.3439669670233	0	0	63.527715844566	16.9627295998726	47.3812373671506	0	50.5668123178907	15.3152641862502	0	50.5668123178907	0	81.7513578591919	64.5491078864948	0	0	0	47.3812373671506	18.5008391369903	0	0	0	0	0
2384	4-20	46.2933659221239	47.3812373671506	10.9998878876064	6.30988884473509	0	0	209.46371742092	35.313305989771	0	25.3456966059435	50.5668123178907	0	0	211.879835938626	108.8096963959	10.9998878876064	0	72.7881950298392	0	0	36.0215013660606	16.5817534007984	59.3307555230358	0	59.3920165797808	32.8971874720655	0	50.5668123178907	0	78.0871925495506	43.8970753596719	3.12431389399505	0	0	47.3812373671506	8.82520426189009	11.7711019965903	0	0	0	0
2385	4-63	32.8971874720655	142.143712101452	0	9.55672485222012	0	0	176.566529948855	0	0	32.8971874720655	151.700436953672	0	0	176.566529948855	184.597624425738	0	0	151.700436953672	0	0	32.8971874720655	9.55672485222012	142.143712101452	0	151.700436953672	32.8971874720655	32.8971874720655	151.700436953672	0	151.700436953672	32.8971874720655	0	0	0	142.143712101452	9.55672485222012	0	0	0	0	0
2386	2-32	9.70929955958501	28.4287424202904	89.205063507812	25.7387797776658	0	0	200.108733942035	137.683668063897	0	12.8336134535801	65.8630419513505	14.7196755680144	0	258.964243924987	93.416330972945	89.8280459685518	0	90.2920170789499	0	0	3.12431389399505	31.7007829825159	61.7155479904291	0	42.4034875393705	0	42.6833431609212	75.565152875639	0	63.2538392968013	67.8074328301291	25.1449270324178	0	0	9.47624747343013	37.7092145826604	0	15.6203335214508	0	0	0
2387	3-6	9.18476976608839	45.6548322055099	74.8581416406224	4.60583840826204	0	45.9540935969929	247.193141928397	44.3129520701807	0	9.18476976608839	67.6999588960078	7.74984231178941	45.9540935969929	247.193141928397	76.8847286620962	74.8581416406224	7.74984231178941	84.6345709738856	0	7.74984231178941	0	13.7906081743504	63.0941204877457	45.9540935969929	83.8590834907134	0	0	42.5108283019825	45.9540935969929	73.6953738432838	21.9997757752129	8.54541379522878	0	0	45.9540935969929	37.9049898937205	16.3634868796345	0	0	7.74984231178941	0
2388	2-28	12.243831298785	46.4394931033207	94.9509193817886	31.556500627433	0	0	294.277549914758	132.747862862237	0	47.9049905055955	79.2677203685144	0	0	329.590855904529	127.17271087411	97.4345568724661	0	109.16196019108	0	0	18.0107506830303	41.3166944355405	67.8452657555391	18.0107506830303	65.7740027530907	0	18.0107506830303	37.9854672725105	0	53.2570715615929	40.0105264582431	50.2898540648355	25.1449270324178	0	28.4287424202904	34.8107285936003	5.13347733228232	0	0	0	14.382660952253
2389	2-10	64.3041166051542	28.4287424202904	46.0928929496757	41.9820957598565	23.5422039931806	0	200.108733942035	82.4580087974016	0	67.4284304991492	59.7945852429855	14.7196755680144	0	235.422039931806	141.942691310149	58.1445906952371	0	87.9104392610582	0	0	54.0322520490908	40.2022625703585	50.8324905846948	18.0107506830303	37.3344240609705	32.8971874720655	50.9079381550958	80.3797535730082	0	111.765845342887	83.9076018179151	28.2692409264128	0	0	9.47624747343013	35.1746828434604	23.5422039931806	15.7302842837527	6.65023802688839	4.70464993506731	0
2390	3-52	10.1381269568	28.4287424202904	62.6146618732444	20.5566127398266	0	0	258.964243924987	61.289741952442	0	27.7885354805802	61.1933324866536	0	0	258.964243924987	88.9818679672338	61.289741952442	0	88.9818679672338	0	0	0	32.019659617429	56.9622083498048	0	65.7740027530907	0	0	37.9854672725105	0	53.2570715615929	10.9998878876064	50.2898540648355	0	0	37.2539466821805	25.9855243317102	5.13347733228232	0	0	0	7.19133047612651
2391	3-5	12.3090836600834	45.6548322055099	74.8581416406224	4.60583840826204	0	45.9540935969929	215.004149832621	44.3129520701807	0	9.18476976608839	59.3035820313327	7.74984231178941	45.9540935969929	211.879835938626	71.6126656914161	74.8581416406224	7.74984231178941	76.2381941092105	0	7.74984231178941	3.12431389399505	16.9149220683455	54.6977436230707	45.9540935969929	83.8590834907134	3.12431389399505	3.12431389399505	42.5108283019825	45.9540935969929	73.6953738432838	25.1240896692079	8.54541379522878	0	0	45.9540935969929	37.9049898937205	16.3634868796345	0	0	7.74984231178941	0
2392	2-74	46.0215019779355	132.747923688993	62.1858344760293	24.0572192714857	0	39.148644061782	247.193141928397	108.374149938803	0	39.0797862437054	78.6252216849139	48.6248915352121	0	294.277549914758	127.181255402049	146.656428274284	39.148644061782	109.170504719019	39.148644061782	0	18.0107506830303	37.1971430938581	56.2064416290407	18.0107506830303	130.816857495963	0	103.377437004873	44.5911713761197	39.148644061782	88.7679140715629	114.377324892479	50.2898540648355	0	0	77.0536339555025	53.7632235404606	0	0	4.70464993506731	0	7.19133047612651
