No.	NAME	SpMaxA_EA(ed)	SpDiam_EA(ed)	SpDiam_EA(bo)	SpMAD_EA(bo)	SpMaxA_EA(dm)	SpAD_EA(dm)	SpMAD_EA(dm)	SpMAD_EA(ri)	SpMax_AEA(dm)	SpMaxA_AEA(dm)	SpMAD_AEA(dm)	Chi0_EA(dm)	SM04_EA(bo)	SM11_EA(bo)	SM03_EA(dm)	SM04_EA(dm)	SM08_AEA(dm)	SM13_AEA(dm)	SM12_AEA(ri)	SM13_AEA(ri)	Eig02_EA(dm)	Eig03_EA(dm)	Eig04_EA(dm)	Eig05_EA(dm)	Eig06_EA(dm)	Eig07_EA(dm)	Eig08_EA(dm)	Eig10_EA(dm)	Eig11_EA(dm)	Eig12_EA(dm)	Eig13_EA(dm)	Eig14_EA(dm)	Eig15_EA(dm)	Eig12_EA(ri)	Eig02_AEA(ed)	Eig02_AEA(dm)	Eig03_AEA(dm)	Eig07_AEA(dm)	Eig13_AEA(dm)
2439	3-52	0.651993425201847	24.9067596907577	7.25239462232898	1.83332917179105	0.0996489715510689	10.2849419344376	0.411397677377503	1.56854557635579	4.20717689473465	0.168287075789386	1.68483789198797	18.3754167338611	6.87858390168185	16.1566354417942	2.77755636305529	4.36793605508715	-0.721463801298237	8.47540644040447	3.71998909640845	3.19822977276029	2.17836884220768	0.472877836234392	0	0	0	0	0	0	0	0	0	0	0	-0.390432768332583	7.38658515296974	3.9246664786686	3.43574181437491	1.82264737670793	0.0466320074600623
2440	3-53	0.644921387245892	24.619240462374	7.23050378771688	1.85199152669583	0.0871347536883071	9.29720149050101	0.37188805962004	1.59148872706327	4.16051420538926	0.166420568215571	1.66768004861338	19.0150702913057	6.86197308632701	16.1031704477649	2.44887870100053	3.83598035511403	-0.771303770759593	7.88963090724498	3.71970820092972	3.1418666751844	1.9087833846067	0.561448518436126	0	0	0	0	0	0	0	0	0	0	0	-0.404724114357482	7.37588190998517	3.76018042887095	3.48282502279346	1.94151718817343	0.0576122443015279
2441	3-25	0.356455937712756	19.4063500021876	7.48150089380212	1.83036931731878	0.134712442063441	16.7246824014292	0.506808557619066	1.44354159332225	4.85302319458828	0.147061308926917	1.64388278877773	22.1479512161857	7.11497267974609	16.571753747318	2.99132256506529	6.54295564872693	0.319867468135689	8.57936147036779	3.41871172623526	3.1707371467195	1.31843591712086	1.2	0.86	0.538394695500187	0	0	0	0	0	0	0	0	0	0.654413169092893	6.52615316969033	3.65268952181583	3.52086407081775	2.60598620814568	1.09262301914101
2442	2-74	0.440876791211271	25.9021521658409	7.09157005253733	1.82089405129191	0.0645774613898201	14.9103445677165	0.392377488624119	1.54287492324058	4.29739913058889	0.113089450804971	1.67607062406742	30.469074271706	7.19387362945773	16.1067631491789	2.59061110629139	4.23674622211299	0.477433043004386	8.73798461878525	3.7817124394671	3.64850810949885	1.9087833846067	1.02332790443728	0.827668943564992	0.68	0.561448518436125	0	0	0	0	0	0	0	0	1.15114452860249	8.01293405520499	4.0402092487537	3.74297997963006	2.77349922772352	1.29785773772203
2443	4-63	0.700697086917999	23.3684997134626	7.19564033783671	2.06497747857834	0.0823028873640094	3.62132704401641	0.164605774728019	1.48761793176888	4.16516003573717	0.189325456169871	1.47732140692356	10.2375438774372	6.86249637257652	15.8409266313135	1.82710602083274	2.50286559161204	-1	4.06258522369525	3.29770019130172	3.29770019130172	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.704624368767128	5.57951231687969	2.3609480620112	2.3609480620112	1	-0.564447277773437
2444	4-63	0.700697086917999	23.3684997134626	7.19564033783671	2.06497747857834	0.0823028873640094	3.62132704401641	0.164605774728019	1.48761793176888	4.16516003573717	0.189325456169871	1.47732140692356	10.2375438774372	6.86249637257652	15.8409266313135	1.82710602083274	2.50286559161204	-1	4.06258522369525	3.29770019130172	3.29770019130172	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.704624368767128	5.57951231687969	2.3609480620112	2.3609480620112	1	-0.564447277773437
2445	3-5	0.522801888782307	20.0873415848139	7.70025833115756	1.83779499431937	0.138500150421098	11.6880072202127	0.487000300842195	1.39603839755571	5.24955205354974	0.218731335564572	1.65276108817622	17.0587221438612	6.91299154577738	17.0597044045394	0.324977857195483	5.51266084914946	-1	6.32258267484036	3.39838796039404	3.20488494592819	0.86	0.86	0.8	0	0	0	0	0	0	0	0	0	0	-0.340302076305006	6.79278208371904	3.55583814202117	3.02538971091791	1.93980135244874	-0.130035860901627
2446	2-80	0.556658217362628	25.7739567368984	6.93902549188681	1.75925061792613	0.0814264174615722	15.8514533751697	0.528381779172324	1.53653634634857	4.28453674618589	0.14281789153953	1.68513173262801	27.1649229888006	6.95559260839629	16.1930664721793	2.88156867980791	4.55877343467965	-0.165545999533878	8.6425529395835	3.75028464310375	3.46912830023191	2.44279252384717	1.02332790443728	0.764722171772206	0.68	0.286045781840519	0.286045781840519	0	0	0	0	0	0	0	0.227255925961146	7.98769448919416	4.07360300143794	3.77944975061974	2.28232196152585	0.649753663668147
2447	2-10	0.531616228843535	24.8829235296085	7.35295154025756	1.78869353587991	0.0463836410108303	10.3257103549837	0.344190345166124	1.49394851684405	3.99858494749065	0.133286164916355	1.62289858996044	28.1892591687503	6.99416230672287	16.3400662871765	0.324977857195477	2.55487559942232	0.0643675515714672	8.51868125819297	3.60030731373832	3.31299998045672	1.05830052442584	0.86	0.8	0.531509230324909	0.521536192416212	0	0	0	0	0	0	0	0	0.491110417222378	6.68241282213649	3.59459135606291	3.28842667538056	2.10187848152925	0.896792491310132
2448	4-63	0.700697086917999	23.3684997134626	7.19564033783671	2.06497747857834	0.0823028873640094	3.62132704401641	0.164605774728019	1.48761793176888	4.16516003573717	0.189325456169871	1.47732140692356	10.2375438774372	6.86249637257652	15.8409266313135	1.82710602083274	2.50286559161204	-1	4.06258522369525	3.29770019130172	3.29770019130172	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.704624368767128	5.57951231687969	2.3609480620112	2.3609480620112	1	-0.564447277773437
