No.	NAME	SRW07	piPC10	piID	PCD
2175	2-69	6.19644412779452	6.81673588059497	8.92038906008036	0.522204655246323
2176	3-26	4.84418708645859	7.47385557731897	10.536818015428	2.45348940664162
2177	2-61	6.19644412779452	6.6945620585211	8.79694389354174	0.540596120623722
2178	3-41	5.41610040220442	5.47672502402085	7.90852501743423	1.08741754517777
2179	3-48	5.73334127689775	6.93731408122368	9.04502710076312	1.4020234652024
2180	3-54	5.73334127689775	6.8326275562903	8.87039523681791	1.3967581283217
2181	2-83	6.91671502035361	7.028201432058	9.6035979369766	0.172356526238989
2182	2-92	6.19644412779452	6.74993119378857	8.94285300680992	0.497370662947684
2183	2-93	6.19644412779452	6.92755790627832	9.12205545710861	0.625473219596499
2184	3-52	5.73334127689775	6.8673238331878	8.96990759462491	1.41295702261201
2185	4-2	0	6.78226291517423	8.96101726327317	1.23480461276564
2186	4-51	6.53233429222235	7.22766249872866	9.70235008148453	0.634726011709944
2187	2-57	0	5.86078622346587	7.986504938554	0.846051895452837
2188	2-28	5.73334127689775	7.11171601087957	9.45689766969941	1.40523811285745
2189	4-63	0	6.82832306200456	8.62288326213983	2.32946398329335
2190	2-85	6.19644412779452	6.83410873881384	9.05040633405986	0.553824096547745
2191	2-97	5.41610040220442	6.24051948020669	9.62051209490867	1.86774728605734
2192	2-98	5.41610040220442	6.23539063760472	9.69508852428664	1.94232371543531
2193	2-32	0	7.21344609126391	9.49664415126819	1.68184072177883
2194	3-5	5.41610040220442	5.43617532357989	7.87195483437818	1.04540961082158
2195	3-26	4.84418708645859	7.47385557731897	10.536818015428	2.45348940664162
2196	4-27	0	5.73187377669764	7.63091815071922	2.14612121722857
2197	3-9	5.73334127689775	6.74347008467428	8.81738111372788	1.34147514436048
2198	2-50	6.27852142416584	6.55819780281227	8.75778365633417	0.552565229938756
2199	2-88	5.82008293035236	6.58340922215876	9.10386812746567	0.462512293429008
2200	2-16	5.73334127689775	6.78240461844781	8.89661800838978	1.33966743637688
2201	2-44	4.84418708645859	5.25749537202778	7.51207124583547	0.32441408172051
2202	2-80	5.73334127689775	6.93925394604151	9.02002696525268	1.05309346684784
2203	4-29	0	2.83321334405622	5.67675380226828	0
2204	2-66	6.13772705408623	7.19321613636121	10.4138690151772	1.37135575384449
2205	3-37	5.41610040220442	5.33060303004601	7.66911586065425	1.07470240090447
2206	3-54	5.73334127689775	6.8326275562903	8.87039523681791	1.3967581283217
2207	4-20	0	4.30575285731789	6.71432221743346	1.03756841516518
2208	2-45	5.41610040220442	4.0943445622221	6.4377516497364	0.489716660555755
2209	4-29	0	2.83321334405622	5.67675380226828	0
2210	2-32	0	7.21344609126391	9.49664415126819	1.68184072177883
2211	3-7	5.41610040220442	5.58373124358837	8.04115136891817	1.11457433569544
2212	2-57	0	5.86078622346587	7.986504938554	0.846051895452837
2213	3-31	6.19644412779452	6.7428806357919	8.85280791762332	0.531143110488321
2214	4-47	0	3.61091791264422	6.59714570188665	0.514926791510205
2215	2-46	5.73334127689775	6.89283197838676	8.9731414741869	1.40890299901641
2216	3-7	5.41610040220442	5.58373124358837	8.04115136891817	1.11457433569544
2217	3-11	5.73334127689775	6.84174901456953	8.97016192216837	1.33776079556692
2218	2-82	7.11720550316434	7.03878354138854	9.39216180372845	0.251707559216438
2219	2-45	5.41610040220442	4.0943445622221	6.4377516497364	0.489716660555755
2220	3-7	5.41610040220442	5.58373124358837	8.04115136891817	1.11457433569544
2221	3-52	5.73334127689775	6.8673238331878	8.96990759462491	1.41295702261201
2222	2-51	5.97380961186926	6.81083129770041	9.44816069068646	1.00871284789507
2223	3-7	5.41610040220442	5.58373124358837	8.04115136891817	1.11457433569544
2224	3-43	5.41610040220442	5.405207961038	7.92031028082636	1.33413862597168
2225	4-20	0	4.30575285731789	6.71432221743346	1.03756841516518
2226	3-9	5.73334127689775	6.74347008467428	8.81738111372788	1.34147514436048
2227	2-88	5.82008293035236	6.58340922215876	9.10386812746567	0.462512293429008
2228	4-27	0	5.73187377669764	7.63091815071922	2.14612121722857
2229	2-60	4.84418708645859	5.42934562895444	7.84658997529119	0.332880727451482
2230	3-9	5.73334127689775	6.74347008467428	8.81738111372788	1.34147514436048
2231	4-27	0	5.73187377669764	7.63091815071922	2.14612121722857
2232	3-7	5.41610040220442	5.58373124358837	8.04115136891817	1.11457433569544
2233	2-38	0	7.42196267809454	9.78242982498671	1.81030869606506
2234	2-65	6.13772705408623	6.99942246750796	9.33811774191801	0.645795464289321
2235	2-57	0	5.86078622346587	7.986504938554	0.846051895452837
2236	3-6	5.41610040220442	5.48505623596845	7.96030181390216	1.03372478067944
2237	3-11	5.73334127689775	6.84174901456953	8.97016192216837	1.33776079556692
2238	2-23	5.73334127689775	6.85310107991854	8.97339498069822	1.3303913451375
2239	2-88	5.82008293035236	6.58340922215876	9.10386812746567	0.462512293429008
2240	3-31	6.19644412779452	6.7428806357919	8.85280791762332	0.531143110488321
2241	3-9	5.73334127689775	6.74347008467428	8.81738111372788	1.34147514436048
2242	2-35	0	7.31192788550321	9.65270177913546	1.75466208837084
2243	Chloramphenicol	0	5.08334347747883	7.17568097306824	1.37962322230287
2244	2-78	2.70805020110221	6.04025471127741	8.2553088117856	1.01824978566086
2245	3-54	5.73334127689775	6.8326275562903	8.87039523681791	1.3967581283217
2246	2-45	5.41610040220442	4.0943445622221	6.4377516497364	0.489716660555755
2247	2-29	4.94875989037817	7.76020058280754	10.2193242257805	1.74420381078615
2248	3-12	5.73334127689775	6.85600135220399	9.03854694937192	1.40614582277047
2249	3-41	5.41610040220442	5.47672502402085	7.90852501743423	1.08741754517777
2250	4-41	5.41610040220442	2.99573227355399	5.87773578177964	0.100083458556982
2251	2-40	0	7.0352685992811	9.28656039788759	1.24353951258931
2252	2-85	6.19644412779452	6.83410873881384	9.05040633405986	0.553824096547745
2253	2-88	5.82008293035236	6.58340922215876	9.10386812746567	0.462512293429008
2254	2-66	6.13772705408623	7.19321613636121	10.4138690151772	1.37135575384449
2255	3-25	4.84418708645859	7.46730521653519	10.4853214763852	2.40199286759886
2256	4-29	0	2.83321334405622	5.67675380226828	0
2257	2-64	6.13772705408623	6.93731408122368	9.20743615882879	0.721320922983416
2258	2-81	7.11720550316434	6.98378996525813	9.33565056294163	0.195196318429613
2259	3-43	5.41610040220442	5.405207961038	7.92031028082636	1.33413862597168
2260	3-26	4.84418708645859	7.47385557731897	10.536818015428	2.45348940664162
2261	2-86	4.84418708645859	5.44673737166631	7.9402277651457	0.317563813822106
2262	2-60	4.84418708645859	5.42934562895444	7.84658997529119	0.332880727451482
2263	4-46	0	6.5206987893073	8.80141978886616	2.4383916853257
2264	4-49	0	5.73187377669764	7.70984269316988	2.0330888909016
2265	2-90	6.53233429222235	6.94215670569947	9.20733586295588	0.614293359256209
2266	3-10	5.73334127689775	6.79381640754944	8.89661800838978	1.33966743637688
2267	2-74	6.13772705408623	7.16752001375199	10.3150382723557	1.34105334566594
2268	2-66	6.13772705408623	7.19321613636121	10.4138690151772	1.37135575384449
2269	3-52	5.73334127689775	6.8673238331878	8.96990759462491	1.41295702261201
2270	2-82	7.11720550316434	7.03878354138854	9.39216180372845	0.251707559216438
2271	2-40	0	7.0352685992811	9.28656039788759	1.24353951258931
2272	3-53	5.73334127689775	6.84174901456953	8.96990759462491	1.41295702261201
2273	2-43	5.73334127689775	6.83087423464618	8.88958399179497	1.06274189363668
2274	2-57	0	5.86078622346587	7.986504938554	0.846051895452837
2275	3-52	5.73334127689775	6.8673238331878	8.96990759462491	1.41295702261201
2276	4-20	0	4.30575285731789	6.71432221743346	1.03756841516518
2277	3-36	5.41610040220442	5.58373124358837	8.04115136891817	1.11457433569544
2278	2-40	0	7.0352685992811	9.28656039788759	1.24353951258931
2279	2-92	6.19644412779452	6.74993119378857	8.94285300680992	0.497370662947684
2280	2-64	6.13772705408623	6.93731408122368	9.20743615882879	0.721320922983416
2281	2-50	6.27852142416584	6.55819780281227	8.75778365633417	0.552565229938756
2282	3-46	5.73334127689775	5.33271879326537	7.57712193087668	0.097822293093845
2283	Chloramphenicol	0	5.08334347747883	7.17568097306824	1.37962322230287
2284	2-84	6.13772705408623	6.96602418710611	9.33811774191801	0.645795464289321
2285	2-82	7.11720550316434	7.03878354138854	9.39216180372845	0.251707559216438
2286	2-69	6.19644412779452	6.81673588059497	8.92038906008036	0.522204655246323
2287	3-7	5.41610040220442	5.58373124358837	8.04115136891817	1.11457433569544
2288	2-85	6.19644412779452	6.83410873881384	9.05040633405986	0.553824096547745
2289	3-31	6.19644412779452	6.7428806357919	8.85280791762332	0.531143110488321
2290	2-22	0	7.27324438878098	9.55703252828503	1.75196548402654
2291	2-87	6.75110146893676	6.60934924316738	9.17066355482328	0.053096582999455
2292	2-52	5.73334127689775	6.82063025917177	8.89634426897943	1.42043829961204
2293	2-82	7.11720550316434	7.03878354138854	9.39216180372845	0.251707559216438
2294	2-66	6.13772705408623	7.19321613636121	10.4138690151772	1.37135575384449
2295	2-97	5.41610040220442	6.24051948020669	9.62051209490867	1.86774728605734
2296	2-57	0	5.86078622346587	7.986504938554	0.846051895452837
2297	3-7	5.41610040220442	5.58373124358837	8.04115136891817	1.11457433569544
2298	2-83	6.91671502035361	7.028201432058	9.6035979369766	0.172356526238989
2299	3-11	5.73334127689775	6.84174901456953	8.97016192216837	1.33776079556692
2300	2-32	0	7.21344609126391	9.49664415126819	1.68184072177883
2301	2-38	0	7.42196267809454	9.78242982498671	1.81030869606506
2302	3-35	5.41610040220442	5.68209056378721	8.18331010006374	1.35676487650715
2303	4-47	0	3.61091791264422	6.59714570188665	0.514926791510205
2304	2-64	6.13772705408623	6.93731408122368	9.20743615882879	0.721320922983416
2305	4-2	0	6.78226291517423	8.96101726327317	1.23480461276564
2306	2-10	4.72738781871234	7.48915003128895	10.1226481825394	1.72943217094287
2307	2-28	5.73334127689775	7.11171601087957	9.45689766969941	1.40523811285745
2308	3-25	4.84418708645859	7.46730521653519	10.4853214763852	2.40199286759886
2309	2-93	6.19644412779452	6.92755790627832	9.12205545710861	0.625473219596499
2310	2-48	5.97380961186926	6.81083129770041	9.44816069068646	1.00871284789507
2311	3-53	5.73334127689775	6.84174901456953	8.96990759462491	1.41295702261201
2312	2-40	0	7.0352685992811	9.28656039788759	1.24353951258931
2313	2-45	5.41610040220442	4.0943445622221	6.4377516497364	0.489716660555755
2314	2-48	5.97380961186926	6.81083129770041	9.44816069068646	1.00871284789507
2315	4-20	0	4.30575285731789	6.71432221743346	1.03756841516518
2316	3-17	5.73334127689775	6.69045400329216	8.73148266077682	1.34315480119972
2317	2-42	5.73334127689775	6.82063025917177	8.89634426897943	1.42043829961204
2318	2-29	4.94875989037817	7.76020058280754	10.2193242257805	1.74420381078615
2319	2-40	0	7.0352685992811	9.28656039788759	1.24353951258931
2320	2-29	4.94875989037817	7.76020058280754	10.2193242257805	1.74420381078615
2321	3-48	5.73334127689775	6.93731408122368	9.04502710076312	1.4020234652024
2322	3-12	5.73334127689775	6.85600135220399	9.03854694937192	1.40614582277047
2323	2-33	0	7.12205988162914	9.42391831842069	1.69991366174463
2324	2-28	5.73334127689775	7.11171601087957	9.45689766969941	1.40523811285745
2325	3-43	5.41610040220442	5.405207961038	7.92031028082636	1.33413862597168
2326	3-5	5.41610040220442	5.43617532357989	7.87195483437818	1.04540961082158
2327	4-29	0	2.83321334405622	5.67675380226828	0
2328	2-69	6.19644412779452	6.81673588059497	8.92038906008036	0.522204655246323
2329	3-49	5.73334127689775	6.90950374951625	9.04502710076312	1.4020234652024
2330	2-51	5.97380961186926	6.81083129770041	9.44816069068646	1.00871284789507
2331	3-48	5.73334127689775	6.93731408122368	9.04502710076312	1.4020234652024
2332	2-23	5.73334127689775	6.85310107991854	8.97339498069822	1.3303913451375
2333	4-59	5.68697535633982	6.07073772800249	8.28045768658256	0.146870268921594
2334	2-35	0	7.31192788550321	9.65270177913546	1.75466208837084
2335	2-10	4.72738781871234	7.48915003128895	10.1226481825394	1.72943217094287
2336	2-68	6.13772705408623	7.0343879299155	9.41458648618593	0.594330120279608
2337	3-46	5.73334127689775	5.33271879326537	7.57712193087668	0.097822293093845
2338	2-80	5.73334127689775	6.93925394604151	9.02002696525268	1.05309346684784
2339	3-12	5.73334127689775	6.85600135220399	9.03854694937192	1.40614582277047
2340	2-35	0	7.31192788550321	9.65270177913546	1.75466208837084
2341	2-60	4.84418708645859	5.42934562895444	7.84658997529119	0.332880727451482
2342	4-62	0	5.70044357339069	7.87511928104029	0.473277702296463
2343	2-82	7.11720550316434	7.03878354138854	9.39216180372845	0.251707559216438
2344	2-61	6.19644412779452	6.6945620585211	8.79694389354174	0.540596120623722
2345	4-51	6.53233429222235	7.22766249872866	9.70235008148453	0.634726011709944
2346	2-80	5.73334127689775	6.93925394604151	9.02002696525268	1.05309346684784
2347	2-10	4.72738781871234	7.48915003128895	10.1226481825394	1.72943217094287
2348	2-50	6.27852142416584	6.55819780281227	8.75778365633417	0.552565229938756
2349	2-43	5.73334127689775	6.83087423464618	8.88958399179497	1.06274189363668
2350	3-37	5.41610040220442	5.33060303004601	7.66911586065425	1.07470240090447
2351	3-11	5.73334127689775	6.84174901456953	8.97016192216837	1.33776079556692
2352	2-44	4.84418708645859	5.25749537202778	7.51207124583547	0.32441408172051
