No.	NAME	DBI	HNar	PJI2	ICR	MeanTD	MaxDD	GMTIV	S2K	PW2	PW5	MAXDN	MAXDP	TIE	Psi_i_1d	Psi_i_1s	Psi_e_0d	LOC
2397	2-93	4.69041575982343	1.83157894736842	1	2.31692635817202	4.49261083743842	21	23248	5.61401339145284	0.620234363337812	0.134637157127446	2.6257315680902	5.89744973993959	87.5468330788794	-5.05295840113227E-9	3.75677113968696E-10	-1.06564592444203E-7	1.50007822352604
2398	3-19	3.60555127546399	1.85915492957746	0.75	1.87703416804033	3.64069264069264	18	8750	4.30466051065125	0.614123376623376	0.142189801549771	2.04293745275888	5.64403486394558	47.481693888473	-9.45028024232199E-7	1.30103013519229E-7	0.0000103866881475974	1.09390056703007
2399	3-11	4	1.80392156862745	0.75	1.84752391163811	3.81422924901186	18	6880	4.48943370521798	0.629347826086956	0.135649354358488	1.8516052532124	5.09183531746032	42.541334670499	4.61983103761957E-7	1.85246097275749E-7	-5.40779731896802E-6	1.0957514173994
2400	2-66	4.41588043316392	1.86301369863014	1	2.53053057744012	5.39750445632799	25	44249	7.08475844076667	0.628291316526611	0.122115297980602	2.4959629342886	6.91412682665659	105.800573734856	-9.28458790433445E-11	8.24609880279101E-12	3.89746129632036E-9	0.640798987389796
2401	3-52	3.60555127546399	1.85915492957746	0.75	1.87703416804033	3.64069264069264	18	8754	4.29255393928061	0.614123376623376	0.142189801549771	1.83611111111111	5.65529903628118	47.8771178473276	-9.39565042050927E-7	1.42590969774272E-7	0.0000103696137755815	1.09390056703007
2402	2-68	4.06201920231798	1.92513368983957	0.8	2.16753028002905	4.4367816091954	23	23618	5.90252212137194	0.626825396825397	0.130053630562969	2.39336061507936	7.03253259637188	83.3993926842187	-1.29475022874881E-9	2.18630165455124E-10	5.4673503332477E-8	0.62794863883109
2403	2-83	4.74341649025257	1.96153846153846	1	2.47663472447068	5.10516934046346	26	32131	6.7744563928595	0.620802563449622	0.131143473871028	2.49591856418493	7.09689082577475	103.880742898361	4.50421834886446E-11	1.76161989360709E-11	3.84515006178708E-9	0.740880227225758
2404	3-36	3.74165738677394	1.82781456953642	0.857142857142857	2.70728206428235	4.92094861660079	18	17069	6.30404455246373	0.599016563146998	0.0941318591447705	4.80366644883262	5.34423624233644	55.3512107457452	-1.04433026005737E-6	2.4589302450602E-8	-5.40299684015792E-6	1.06864587713127
2405	4-59	4.74341649025257	1.72277227722772	1	2.42617927589722	4.32758620689655	19	17119	6.57504532217911	0.619796487037866	0.134225454790737	2.51838482615268	6.4062603930461	95.9627642857657	9.40446688222835E-9	1.69439710823521E-9	-1.0600882770989E-7	1.19750073850489
2406	2-45	3	1.84615384615385	1	2.43003653257727	3.88333333333333	14	9202	4.6849619805416	0.563095238095238	0.0972367789313935	2.95088645334677	3.23067604318281	31.8373921881286	-0.000194605159395449	2.89176439121994E-6	0.000498209645179744	1.70281953111478
