No.	NAME	SPAM	MEcc	SPH	PJI3	L/Bw	HOMA	DISPm	QXXm	DISPv	DISPe	DISPp	DISPi	DISPs	QYYs
706	2-65	0.347782446257883	0.990209558351389	0.778545401769725	0.876241401624682	1.39	0	3.34551341956421	270.183110091828	2.79591963316512	0.190558840188981	0.266810118604632	0.405467589447929	0.465696541217033	1260.7610963078
707	3-24	0.351718067845382	0.978195897486676	0.571511750864147	0.795634609686527	1.86	0.853070519635038	11.3003043932393	254.516792502137	10.7628455677304	0.171594709475991	0.723336832736515	0.777014719786295	0.487238861685166	1199.12432774801
708	3-39	0.432744933598595	0.996597168231595	0.800192187125374	0.713017610776165	6.91	0.887218645925099	8.80370138018594	61.66060538261	9.65354885283183	0.172684107837555	0.731189339896661	0.981016189247685	0.628277110997195	880.613347434701
709	2-39	0.377744160542365	0.996115221482063	0.73017455202305	0.907317215178106	6.99	0	4.81130370952546	149.268173159201	6.28614669955385	0.0715637950410305	0.422315852034345	0.722118740975022	0.319089266715094	2296.09941211935
710	2-99	0.342483690403765	0.97511501505277	0.643397052294977	0.772837563620362	3.21	0	4.41333196431701	100.675672100098	2.28823419207462	0.207863162711765	0.10267157178467	0.193304293509935	0.585511203586021	887.457087445782
711	4-30	0.339357457573979	0.987539954734584	0.531240343923797	0.738878619035024	4.84	0	4.11301973819205	77.6248539133077	3.47906114041674	0.135969576336305	0.178903756463596	0.284624927133809	0.270503602070092	837.469483841899
712	2-39	0.386939758656314	0.998850138938807	0.825091976067159	0.918238854038312	9.62	0	5.10534089493416	117.673358376413	6.8115686206144	0.0582768209685924	0.457271548355831	0.769717246353988	0.292021566458382	2599.73656416514
713	4-45	0.441148111631557	0.999702265080124	0.885945452873037	0.86564917441619	10.34	0.819025801635933	12.6877307554483	65.773051694679	10.4836225416754	0.377382436605093	0.423773638629662	0.338158153660759	0.836640022514875	1766.50349922513
714	2-39	0.379366282755199	0.999127021142312	0.844527521445945	0.852495507370612	5.48	0	5.87391993946293	146.206624750007	7.18297594892556	0.0888811178433163	0.461943864585777	0.752037820388238	0.355561142054054	2165.83655248315
715	2-59	0.314603941634015	0.951388069252492	0.579561506868379	0.841872295782605	1.43	0	4.95929034125753	250.613646050238	3.96749805657251	0.191779878699831	0.221004282055829	0.28556160726492	0.549839636638275	1233.03974306235
716	4-35	0.393005830107456	0.997553803490031	0.780222289721715	0.918631915773373	6.41	0.34677516875998	2.32505833647875	99.8448530940102	5.64511168792856	0.153132559068342	0.521912873472253	0.821771920862255	0.377983470185481	1635.8571129994
717	2-41	0.366857010302419	0.983649282853414	0.557377083782667	0.915613274898834	4.81	0.674534706062714	4.9256205878468	156.021915308304	6.15030547796318	0.109359359017709	0.429076464276688	0.507220389376622	0.263224614170455	1377.80140402004
718	2-26	0.329098557841309	0.991873488493675	0.731380062247103	0.792076670451404	2.88	0.30152054403938	2.88485428347527	274.204522566593	2.52243485385003	0.0962714092737906	0.134672427493776	0.162054686843016	0.265361811502977	1932.39037589271
719	2-56	0.32885572479557	0.992296492267271	0.702863057721712	0.796622979605608	1.84	0	8.25602123668757	222.83624304893	4.69990970434668	0.373991264619849	0.0860119930312051	0.223154814935823	1.02891598105551	1346.13158817726
720	4-39	0.431858087240795	0.999877985117459	0.91386576152897	0.752126757795566	2.06	0.842447022346925	2.16914366729262	34.62000195452	2.8115856801254	0.0299390791378404	0.183030648784768	0.352802559621274	0.0822337354885333	249.158809418818
721	4-47	0.35887767774139	0.994084134186812	0.751877981652567	0.734642538753394	2.15	0.00634587062914049	3.28268846843514	133.097515633354	2.42158551771093	0.101696785869092	0.110760021524666	0.252944283347041	0.188401690834624	900.471124610253
722	2-5	0.358190895736223	0.995268356982168	0.689018323832859	0.695180235467313	3.54	0.86962300723568	1.68427109963162	54.5014183825936	2.81706407269555	0.0885682882816081	0.247649998499034	0.388440506899547	0.249349708176237	541.129908296853
723	2-19	0.383893232303519	0.999834339311412	0.906523333158433	0.924836048138204	4.73	0.674933423647809	7.82413731661986	92.9815939550698	8.32573340988152	0.154221507296777	0.495725268754583	0.612703431275701	0.476095489877986	1220.60367238511
724	3-9	0.33562343606053	0.995481428540162	0.752582836010705	0.727652244993399	1.77	0.884956328560527	3.07701098851692	97.9420225383818	4.39313162918	0.081997137883514	0.334557058266308	0.508132898525723	0.249992297565085	566.190371480656
725	4-17	0.417302768568311	0.999668789588188	0.906935159908438	0.704347088431605	2.45	0.805883704487955	1.78727799943679	31.1601767124843	3.36140113046462	0.0252529487357292	0.266589052493308	0.524177768403764	0.028101097285685	226.589965966014
726	2-74	0.357577193200558	0.99188342899909	0.621551729563516	0.750473359581954	2.87	0.868363092396837	5.55713555033816	249.836456850223	3.5650505332388	0.125928441490207	0.421603909654347	0.241517555598544	0.300937171728173	1423.77079578402
727	4-45	0.368285098484597	0.991263103597086	0.617197917343245	0.763665549355459	4.33	0.82351502362403	8.64992287631184	106.211424876596	7.13162360116884	0.261911069326991	0.303798751692847	0.309365665998558	0.661207363839018	1021.35940826999
728	4-58	0.357557338355445	0.96626725094689	0.605686941642843	0.680297063845032	2.3	0.539849262403701	6.37811497399299	247.444007196051	7.17852129828631	0.170609735525576	0.467744579384114	0.705012709937399	0.566676177614975	1352.25058459127
729	4-45	0.393160187493238	0.99824403278422	0.765765299449863	0.890827710633021	5.62	0.813494276899355	7.37624139129708	91.0873473463417	6.54794606768856	0.192324004964334	0.310328618596078	0.236431109267019	0.406181673794566	1278.21694514159
730	2-8	0.435988670056472	0.996459477159033	0.817616839595814	0.821987261432626	9.43	0.877137938596141	5.37919604464356	54.4525399678475	6.42909610899345	0.106813764989254	0.52763623147609	0.570485868413426	0.455569554890125	1008.84521378586
731	2-72	0.346697269382098	0.983554997570281	0.690499694380025	0.754511805138444	1.36	0	3.34037560890458	199.616989970082	3.2661297533343	0.14849732020088	0.249844324291617	0.388240680149514	0.394563398168159	987.229176104659
732	2-91	0.423457549839623	0.994310369231182	0.724041533238625	0.881064552396782	5.26	0	7.00900517249242	65.1669113764298	3.98573818625172	0.284458692635338	0.166046506026886	0.0248750308715934	0.710082633649973	811.121739520484
733	2-79	0.332146573115863	0.995312802372455	0.757152986297833	0.793078841033701	3.01	0.882528208081901	2.17671303901197	229.531903940785	1.55285372313005	0.101394728339175	0.0989742681737376	0.129816257641415	0.313150775501235	1703.19515568823
734	2-16	0.34023691420064	0.994545080483273	0.734290508014125	0.690998984228338	1.35	0.878908888773408	1.0816784015493	127.169196550207	3.31853863325873	0.11324063262343	0.32829897840956	0.474885088069517	0.297902702829147	614.271058251884
735	2-63	0.356950839883054	0.999403396083302	0.868142987188899	0.995276773144812	5.95	0.877464616747711	4.91717500293682	172.051032894143	2.25559128793407	0.22852168704854	0.150954581243895	0.491536208649919	0.492988216875799	2815.51752497378
736	3-24	0.349708559916155	0.998740519325538	0.866482872124666	0.786157588709069	2.92	0.834702411776273	10.3109597742019	182.133960604168	9.11558032497035	0.207633912632671	0.55098385750141	0.608350708369848	0.486965258668263	1427.16922246654
737	2-24	0.356852537799887	0.990764165365075	0.786517099084432	0.913849493079929	2.24	0	5.24435071963508	240.383003804151	3.84251369663455	0.190359939141632	0.116478016764523	0.178251109290773	0.470506884551424	1467.39238832346
738	2-83	0.337942302392913	0.991831996230627	0.796317839179927	0.924050513425484	1.91	0	7.39493500800221	275.237715827819	5.78903080582872	0.241147277161267	0.212424824664007	0.23479174349931	0.576178257552436	1534.71443885578
739	2-14	0.407378183178578	0.994114841595395	0.605289589288184	0.910256598248374	2.34	0	3.83799235943135	18.6041743919682	3.49401462434433	0.12879944791808	0.162155602819904	0.326730561791025	0.345755251839339	154.131038068258
740	2-97	0.409644524791754	0.998806393321383	0.805143137545062	0.927683323634518	5.83	0.886003264241518	1.6586553725992	158.085168198105	1.13122871224162	0.0614070340563281	0.0619585682623003	0.0443633876465491	0.129547023052517	2051.60500125155
741	4-37	0.412702608853593	0.998222891786275	0.81102918765077	0.659849384862226	2.86	0.85465777954916	5.31284585696947	37.2573172481867	4.88749365832892	0.154369190597354	0.249398330385392	0.442195531346019	0.282403657181075	334.589746602667
742	3-52	0.342741301743245	0.983190182824952	0.605201263611836	0.745807889655146	2.18	0.894254322622008	2.14827898100362	97.5242369163256	2.84492932635171	0.106523383484701	0.24906020778577	0.335240546550354	0.326117296919175	629.456030474934
743	3-5	0.443334560354552	0.99949274289819	0.752740901780224	0.765172379763688	8.36	0.881658052137894	25.4109787701608	132.951064250689	15.7565411524333	0.282079221782317	1.34211756817951	1.21684262897567	0.853126071322412	1115.7720217608
744	2-100	0.383087078962749	0.987383459670042	0.722145899774198	0.807511838614336	2.02	0.270390447488512	6.43075493466628	176.521175571938	6.3147945608648	0.214138394547715	0.373561683659189	0.568679884678119	0.523394187575845	1081.10562234508
745	2-64	0.335956510671907	0.971190774455693	0.627851728402767	0.747011993394961	1.35	0	2.53134419383418	203.297158112269	1.22010114192215	0.130790481745686	0.0511819057722447	0.19126628559317	0.322668939947824	870.66536676602
746	3-31	0.334114609624684	0.980343208646621	0.64512531622146	0.708384021426225	1.84	0	3.16424565818475	138.625364672894	2.53000638533685	0.13183295185261	0.152409973558553	0.192965108709582	0.313848123975809	850.577321253008
747	3-24	0.336535586441515	0.971656615351736	0.495173845411806	0.945474294406366	1.96	0.850116907609713	10.4397342172301	253.759666917869	9.44571019210458	0.173818461546046	0.619227373441788	0.646727824553939	0.454353474466255	1235.47246249424
748	2-46	0.3623250218929	0.988661384838012	0.699937774848408	0.765231964069638	2.85	0.87927558020815	2.73242571519089	85.7644051836288	1.71465555480894	0.201569912684258	0.243182080742927	0.360279786331591	0.539793007993251	713.210322404362
749	4-15	0.415320341665755	0.997225708758781	0.739999685904825	0.753642767779133	7.02	0.861049318476233	2.24206678260791	18.9054310053581	1.20393684378673	0.0755955721663272	0.0949616047868146	0.317502638248604	0.134652339886027	357.511662723713
750	2-13	0.394012624664674	0.993557742825385	0.602231982761218	0.800108385574137	2.92	0	0.78035231594092	16.8376137293797	1.14689734197082	0.0137361406008209	0.0799547733524385	0.153421011567442	0.0234942298220915	171.551450317675
751	3-53	0.345756849302709	0.992360590024152	0.742107995607468	0.733897951374557	1.59	0.894800152378886	2.6602851599261	112.357680481701	2.94060431902161	0.132503899211919	0.25520835524479	0.385692233800459	0.425739213782675	577.169977550281
752	2-18	0.343139378784281	0.970641513631719	0.516624296958319	0.889909822843495	1.84	0.857199323499786	10.3101004546889	238.973529238477	9.99822691458639	0.156788773776731	0.681923496558988	0.765677672544146	0.45117228052955	1122.51974222498
753	Chloramphenicol	0.437734770170078	0.996804001915715	0.743393934980524	0.757973429772281	3.83	0.861451007741349	9.0669288608709	112.955005957539	5.18083639503911	0.120597208067454	0.580113446259719	0.185827078714386	0.283823141486746	937.254621752518
754	2-65	0.352588190416558	0.988418997000923	0.722772094583247	0.858001713205221	1.52	0	3.40494025455287	266.992798955078	3.25333113601294	0.194053044849208	0.307480013599738	0.455912226920773	0.453892292413713	1321.29248260668
755	2-52	0.357298734849722	0.99304692008186	0.655758638999359	0.707083649937028	2.27	0.871957608341649	3.32493271398585	80.3526326393562	2.27317795239578	0.172241801412706	0.182685313047451	0.263212848601349	0.546683223223265	576.059314195503
