No.	NAME	Eta_betaS_A	Eta_betaP_A	Eta_beta	Eta_F_A	Eta_FL_A	Eta_sh_p	Eta_sh_y	Eta_sh_x	Eta_D_AlphaA	Eta_D_AlphaB	Eta_epsi_5	Eta_D_epsiA	Eta_D_epsiB	Eta_psi1	Eta_D_beta
2428	3-19	0.613636363636364	0.386363636363636	22	0.705948208660415	0.172708746477665	0.206349206349206	0.333333333333333	0.0952380952380952	0	0.0227272734045982	0.782608695652174	0.10560606060606	0.0388111888111887	0.593220338983051	-5
2429	3-46	0.619047619047619	0.0714285714285714	14.5	0.309663274909985	0.0684030917540309	0.165562913907285	0.298013245033113	0.0993377483443709	0	0.0206349212676287	0.730555555555555	0.0552459580323357	0	0.605210420841684	-11.5
2430	4-29	0.625	0	10	0.245375997065955	0.0810625640877103	0.117903930131004	0.248908296943231	0	0	0.022916667163372	0.719298245614035	0.0461408830468487	0	0.597911227154047	-10
2431	2-32	0.65625	0.416666666666667	25.75	0.825520437975481	0.206262476517041	0.192878338278932	0.391691394658754	0.0445103857566766	0	0.0319444462656975	0.822666666666666	0.132559638942618	0.0404384268214055	0.554276315789474	-5.75
2432	2-32	0.65625	0.416666666666667	25.75	0.825520437975481	0.206262476517041	0.192878338278932	0.391691394658754	0.0445103857566766	0	0.0319444462656975	0.822666666666666	0.132559638942618	0.0404384268214055	0.554276315789474	-5.75
2433	2-80	0.62962962962963	0.259259259259259	24	0.807799576876832	0.159408389392598	0.266666666666667	0.32	0.12	0	0.0370370373129845	0.83103448275862	0.146566037735849	0.0295490885833068	0.531914893617021	-10
2434	2-46	0.613636363636364	0.409090909090909	22.5	0.72657531104073	0.174096329901343	0.17741935483871	0.338709677419355	0.0967741935483871	0	0.030303031206131	0.815942028985507	0.140278351936062	0.036948624805397	0.55956678700361	-4.5
2435	4-44	0.620967741935484	0.338709677419355	29.75	0.842765452840986	0.190512909474075	0.167053364269142	0.271461716937355	0	0	0.0365591384470463	0.798095238095238	0.123935268711388	0.0213862195869967	0.537406483790524	-8.75
2436	4-57	0.583333333333333	0.133333333333333	21.5	0.500749881819796	0.0823734895680695	0.267734553775744	0.240274599542334	0.102974828375286	0	0.0144444443285465	0.762745098039215	0.0852270210409744	0.00624338624338638	0.588948787061995	-13.5
2437	3-30	0.634615384615385	0.211538461538462	22	0.672217724634586	0.135902316141173	0.199445983379501	0.249307479224377	0.166204986149584	0	0.0371794886887074	0.823809523809524	0.146378551420568	0.0225901681427287	0.535608308605341	-11
