No.	NAME	TDB04u	TDB05u	TDB06u	TDB07u	TDB09u	TDB10u	TDB04m	TDB06m	TDB07m	TDB09m	TDB10m	TDB04v	TDB10v	TDB05e	TDB06e	TDB07e	TDB08e	TDB01p	TDB03p	TDB05p	TDB01i	TDB03i	TDB04i	TDB05i	TDB06i	TDB07i	TDB01s	TDB04s	TDB06s	TDB07s	TDB08s	TDB09s	TDB10s	TDB01r	TDB02r	TDB03r	TDB05r	TDB06r	TDB07r	TDB08r	TDB09r
852	4-37	3.83807614804222	4.66190731565955	5.59202482263112	6.23346160983176	8.0453473165081	9.35864015329093	1.38065659886652	1.05043108907594	0.950735294803595	0.273794316763233	0.0661918836625976	1.508093232791	0.649298336033657	4.71141530476391	5.49820749771548	6.13400949140639	7.10404297355862	0.726393461292832	1.42308218095642	1.73933823901444	1.4468211364502	3.72852501130649	4.74459774569517	5.98308075514355	7.35237533274147	8.49649107524877	3.90625296092916	9.92917961061019	11.9728383399391	12.720657829612	14.5469598012266	11.9134239943729	9.35864015329093	0.850014366857364	1.19782121430477	1.66085209578553	2.0977261120996	2.15125628832954	2.08100284009936	2.332959642155	1.92767788896989
853	2-9	3.90452017075561	4.76962771327614	5.71376988591141	6.46487519054229	8.9907111889043	9.44109167763049	1.33073974635885	1.38305056779515	1.09485209107163	0.353865299436106	0.0667750476284617	1.5058148094612	0.655018786513666	4.73323175976332	5.66944479615046	6.47909495263045	7.50321335181831	0.875764673358198	1.64067044448365	1.84791406610659	1.4587536875443	3.7119128213327	4.86650252308915	6.08985125839133	7.43873298417792	8.82443371216963	3.52635154426269	10.7244081205648	15.5718901994524	18.2025066230267	27.2110552106418	23.2029609363267	9.44109167763049	0.962394380548994	1.51924670685674	1.86969442533319	2.18046386429205	2.37757067116533	2.23156143718915	2.31483368161183	2.05216111632561
854	3-15	3.90513091615221	4.80893799159867	5.73649613630634	6.67540911122294	8.87389441302721	0	1.13386833899578	1.16987892303911	0.834021232172601	0.062763369143403	0	1.45319477675322	0	4.66376064942473	5.5723699915574	6.40273310928439	7.62470181795529	0.900607978977597	1.69638526037425	1.85304486179388	1.41936550512225	3.67412430624588	4.81373455075656	6.09804791790669	7.38442645695524	8.96563690862427	3.23259495098215	8.31540416188638	14.4477008891263	14.531258621018	15.5632987084242	8.87389441302721	0	0.946642673153225	1.46661308598259	1.82024012967344	2.0997575204569	2.29604834025109	2.16759460923132	2.25586613947422	1.476459938525
855	2-94	3.97447499176883	4.81383776254138	5.63397961989531	6.53618725918734	8.50720545799766	9.46391865374262	2.95438543796089	3.5454916591696	3.77021720282168	3.22540074706061	2.44757035523057	1.7709059641901	2.10403527190413	5.83591287101747	6.18830528325625	7.36833127290167	8.38568095184777	0.894179039214021	1.47932002313394	1.91138983749421	1.51449703564903	3.90445097474745	5.08311692051909	6.33082311677624	6.96993915127615	8.31290838393163	4.96247864728986	18.8064236728674	21.9789682742939	35.7551105994951	38.6655362177964	33.714458807137	63.7942941729857	1.09491269989706	1.62606210209466	1.9273337172417	2.81435017645639	3.51350669773701	3.86929583068359	3.93515199906364	4.07355523514577
856	2-100	3.89164268668296	4.73482234191467	5.59408588187933	6.16814628358638	7.49031893560935	7.84253165099297	1.70788552135056	2.29750179941925	2.11292648814064	1.51434983579612	0.824999534981428	1.77354893422089	1.42308984720547	4.84665302638884	5.78458521461957	6.31430393285019	6.96268709104596	0.829857196210244	1.73268754830215	2.15069484258374	1.45701459728959	3.70003500516449	4.7252416436479	5.87685071156916	6.952268258782	7.82057253756735	4.28845866831615	11.4434037032537	19.5862194079876	20.079984690442	22.7343095626982	25.1728487205863	15.6213720331546	0.954287882788894	1.48811403557972	1.98534327049064	2.57824325587287	2.98805340590448	2.95271287780699	3.01411825124755	3.05492278507988
857	2-86	3.8689792129987	4.73171589508479	5.75781360653276	6.77012273174337	8.86013186859431	9.78965030089818	1.34949888977669	1.63475123411125	2.04392106722906	2.89115229819717	3.26854244721093	1.52450137625315	3.28600800727221	4.72739985217431	5.75614842485403	6.79579924987557	7.80726641602224	0.844074246049531	1.46486215608567	1.81889149137483	1.44091681482391	3.76497981314449	4.81314854143249	6.02806733251083	7.50875056647171	8.77395976672791	3.62149546608767	11.5803123168178	17.0802692488542	20.4105495545265	24.8609318625903	26.388036758839	37.6254551612958	0.9310077759242	1.36844601653265	1.69238631019146	2.16229100855122	2.50340060746307	3.02792306857069	3.36373795761918	4.08400277113026
858	3-31	3.92622527605829	4.86127941792367	5.8624928853005	6.66604530348767	8.52657298304874	9.31216896117163	1.53505331521387	2.18464629507866	1.43903190720526	0.214414500915868	0.0658632017502643	1.60312772626243	0.646074185171745	5.00447659585296	6.08911633234978	6.81378026498404	7.48725068780757	0.887054899701569	1.7073129680363	1.96361934702586	1.45058442945319	3.70631375644996	4.87332257191712	6.15173725181634	7.39976282731312	8.81566846548469	3.89968619945354	12.2017076949492	23.9100051377087	20.5798816917668	26.8815878772657	16.0546112124177	9.31216896117163	0.988415116068832	1.56805601885276	1.97217457178728	2.41948990122231	2.8708391480722	2.62335547100027	2.45386778227444	1.71443466221213
859	2-25	3.91092758020705	4.79854956533101	5.62359706531883	6.40164413542041	7.90779725290377	8.42031692452222	1.18278062890533	1.37723352851094	1.17300475625886	0.233105534516954	0.05955530174693	1.48463601313799	0.584197883283905	4.64930893216732	5.42070712857655	6.16690178038828	7.01520045986957	0.878207168138668	1.62121603662548	2.03301168797263	1.43881717840579	3.72767864905614	4.86974622305434	6.04107586295169	7.09346311273197	8.41250896028299	3.24205136124351	8.30986289023116	12.246541954362	15.2535947394042	20.8687954725734	15.0269133920675	8.42031692452222	0.940134893222644	1.4322279630175	1.77528070043319	2.25954946685475	2.49378750746247	2.33554332990836	2.24340183618733	1.6874681102484
860	2-90	3.91008882235138	4.78212167204071	5.64535845330781	6.35258631987752	7.9354647673591	8.12219282049146	1.46135244410019	2.21757922156581	1.79257708117633	0.425148084611864	0.0574467266027002	1.59034872785835	0.563514164120857	4.83225894193625	5.78165721335423	6.45366889698086	7.12558868718666	0.898712812776622	1.62680952387772	2.04590250239733	1.45429118310123	3.75260062820211	4.85665134727791	6.01802406069126	7.11685672073961	8.19269477672509	3.59818489231601	11.4752094745813	20.0685920367668	17.8102103534628	22.6277845146057	18.7808721816295	8.12219282049146	0.988653010973036	1.52840274984432	1.86838248394368	2.44169311631727	2.89142883301681	2.86306957968318	2.8455365425065	2.18893604359646
861	3-38	3.92678052768321	4.88021044299377	5.72827332669465	6.55418396099411	7.83785077272452	8.43853450077013	2.01789153351577	2.6460043578843	2.6095918810539	1.41390141762097	0.794754591383645	1.46321640716603	1.59893901467734	5.47045458292941	5.98061729023918	6.90776596790767	7.45537752387432	0.884633754298385	1.41932949993491	2.03523632037082	1.49115964414821	3.886981095198	5.08426890478322	6.32060795752146	7.2059737625486	8.25529286982152	3.95216683873727	13.5538206554976	17.8054936072744	23.3913327240346	20.655415770782	16.1286718827172	14.6993675226761	1.04229642931983	1.49872581269201	1.75414651141299	2.66854438059176	3.06678335399047	3.45878606107626	3.32781873465411	3.1323616698578
