No.	NAME	X2A	X0Av	X2Av
220	2-11	0.255094076160319	0.629150107768901	0.199022058536817
221	4-47	0.308497748299463	0.652189619661353	0.202044617987341
222	Ampcillin	0.279921873593189	0.585340437632859	0.20523797203797
223	2-99	0.251383201299433	0.588645377960144	0.185913936416699
224	2-7	0.266518073429756	0.620174268190675	0.198451928088572
225	4-28	0.292215099886471	0.642013273128424	0.198031179830077
226	2-8	0.283917403600004	0.593817615439532	0.206155186655502
227	4-35	0.300662118309395	0.645990615891975	0.235280202396135
228	4-33	0.249985800617293	0.591493168852208	0.179313855376752
229	4-30	0.241246990095279	0.596111273608615	0.184241289259885
230	4-58	0.257830885342325	0.572276674642815	0.160029125590493
231	4-4	0.249432733105048	0.647342455828523	0.203910404241073
232	Ciprofloxacin	0.271057935779185	0.551083385958768	0.16631311268118
233	2-30	0.265800824963167	0.591210931186767	0.188728756976853
234	2-26	0.251146062205832	0.578695154210584	0.18632762398801
235	3-33	0.274193143974452	0.605104956543681	0.175546372684979
236	4-35	0.300662118309395	0.645990615891975	0.235280202396135
237	Ciprofloxacin	0.271057935779185	0.551083385958768	0.16631311268118
238	4-18	0.294060209703615	0.600232800278084	0.179815906286126
239	3-42	0.280813823574736	0.59071868456811	0.188778318016871
240	2-26	0.251146062205832	0.578695154210584	0.18632762398801
241	2-7	0.266518073429756	0.620174268190675	0.198451928088572
242	4-4	0.249432733105048	0.647342455828523	0.203910404241073
243	4-28a	0.30999960304259	0.640190451846178	0.202287568018175
244	4-11	0.268412082029843	0.609818536366178	0.156054347941742
245	2-13	0.277311095487906	0.654011122005932	0.221904104278979
246	3-38	0.282174596963477	0.598755384673191	0.211198003080254
247	4-48	0.262965165988351	0.558045569380609	0.1613524813556
248	4-54	0.27371035842334	0.678074155436175	0.231472343892715
249	3-9	0.252791556464687	0.632557733797806	0.198261272558716
250	3-42	0.280813823574736	0.59071868456811	0.188778318016871
251	2-9	0.237937963843807	0.600736086424362	0.182704938373465
252	2-30	0.265800824963167	0.591210931186767	0.188728756976853
253	4-43	0.298010863199907	0.560290780102107	0.162164653194369
254	2-8	0.283917403600004	0.593817615439532	0.206155186655502
255	2-17	0.258331956715208	0.586078228868668	0.181707032734805
256	2-71	0.248823633748566	0.570722669333395	0.176800220623484
257	Ciprofloxacin	0.271057935779185	0.551083385958768	0.16631311268118
258	4-3	0.252791556464687	0.632557733797806	0.198261272558716
259	3-34	0.283917403600004	0.61495010198005	0.213549639257208
260	2-1	0.278592008658993	0.587430135421966	0.198158252797012
261	4-52	0.257078644719274	0.592764747195707	0.180690998466088
262	2-26	0.251146062205832	0.578695154210584	0.18632762398801
263	2-17	0.258331956715208	0.586078228868668	0.181707032734805
264	Tetracycline	0.262823799319614	0.551506985581671	0.159524991926582
265	4-3	0.252791556464687	0.632557733797806	0.198261272558716
266	2-15	0.266809399075242	0.594057517732873	0.162970692454743
267	Tetracycline	0.262823799319614	0.551506985581671	0.159524991926582
268	4-43	0.298010863199907	0.560290780102107	0.162164653194369
269	2-26	0.251146062205832	0.578695154210584	0.18632762398801
270	2-51	0.258597209442114	0.584363744426698	0.190785823957564
271	3-39	0.279326767735149	0.604172954498859	0.210568192410777
272	3-38	0.282174596963477	0.598755384673191	0.211198003080254
273	2-61	0.243306869006767	0.559870882258849	0.171197850131592
274	3-34	0.283917403600004	0.61495010198005	0.213549639257208
275	2-34	0.252796191814498	0.5935894185645	0.179419037202286
276	2-18	0.269106909127511	0.623279000797671	0.20258772163499
277	4-48	0.262965165988351	0.558045569380609	0.1613524813556
278	2-7	0.266518073429756	0.620174268190675	0.198451928088572
279	4-43	0.298010863199907	0.560290780102107	0.162164653194369
280	4-48	0.262965165988351	0.558045569380609	0.1613524813556
281	4-18	0.294060209703615	0.600232800278084	0.179815906286126
282	2-2	0.283917403600004	0.663148152586247	0.230414583191695
283	2-30	0.265800824963167	0.591210931186767	0.188728756976853
284	2-72	0.245953684761389	0.570722669333395	0.174778376721886
285	2-59	0.261431598911075	0.57456058328237	0.184521669490274
286	4-14	0.297344813268167	0.7124677434101	0.23520193788134
287	4-44	0.298093258229914	0.61197478167791	0.195801750017683
288	2-7	0.266518073429756	0.620174268190675	0.198451928088572
289	4-18	0.294060209703615	0.600232800278084	0.179815906286126
290	4-57	0.267103572074013	0.674158866136661	0.234441507328039
291	4-43	0.298010863199907	0.560290780102107	0.162164653194369
292	2-30	0.265800824963167	0.591210931186767	0.188728756976853
293	3-39	0.279326767735149	0.604172954498859	0.210568192410777
294	2-1	0.278592008658993	0.587430135421966	0.198158252797012
295	2-25	0.255310602317902	0.622361850009899	0.203951209476116
296	4-48	0.262965165988351	0.558045569380609	0.1613524813556
297	2-16	0.255310602317901	0.610819672110929	0.195233745453329
298	4-58	0.257830885342325	0.572276674642815	0.160029125590493
299	2-12	0.265800824963167	0.596633292590503	0.190804298336417
300	3-38	0.282174596963477	0.598755384673191	0.211198003080254
301	3-17	0.249432733105048	0.628830281428369	0.193467441727868
302	4-35	0.300662118309395	0.645990615891975	0.235280202396135
303	2-15	0.266809399075242	0.594057517732873	0.162970692454743
304	4-28a	0.30999960304259	0.640190451846178	0.202287568018175
305	2-1	0.278592008658993	0.587430135421966	0.198158252797012
306	Ciprofloxacin	0.271057935779185	0.551083385958768	0.16631311268118
307	4-33	0.249985800617293	0.591493168852208	0.179313855376752
308	4-54	0.27371035842334	0.678074155436175	0.231472343892715
309	2-1	0.278592008658993	0.587430135421966	0.198158252797012
310	4-15	0.323054297733569	0.709708988162088	0.252969224450115
311	4-48	0.262965165988351	0.558045569380609	0.1613524813556
312	3-34	0.283917403600004	0.61495010198005	0.213549639257208
313	4-15	0.323054297733569	0.709708988162088	0.252969224450115
314	4-44	0.298093258229914	0.61197478167791	0.195801750017683
315	4-18	0.294060209703615	0.600232800278084	0.179815906286126
316	2-18	0.269106909127511	0.623279000797671	0.20258772163499
317	3-39	0.279326767735149	0.604172954498859	0.210568192410777
318	2-59	0.261431598911075	0.57456058328237	0.184521669490274
319	2-39	0.282300485078746	0.63839524311998	0.224165390062114
320	2-17	0.258331956715208	0.586078228868668	0.181707032734805
321	2-9	0.237937963843807	0.600736086424362	0.182704938373465
322	2-99	0.251383201299433	0.588645377960144	0.185913936416699
323	2-15	0.266809399075242	0.594057517732873	0.162970692454743
324	Ciprofloxacin	0.271057935779185	0.551083385958768	0.16631311268118
325	2-3	0.249432733105048	0.628830281428369	0.193467441727868
326	2-7	0.266518073429756	0.620174268190675	0.198451928088572
327	4-43	0.298010863199907	0.560290780102107	0.162164653194369
328	2-34	0.252796191814498	0.5935894185645	0.179419037202286
329	Tetracycline	0.262823799319614	0.551506985581671	0.159524991926582
330	2-63	0.2742378161286	0.588754682438626	0.188820975623914
331	Tetracycline	0.262823799319614	0.551506985581671	0.159524991926582
332	4-11	0.268412082029843	0.609818536366178	0.156054347941742
333	2-11	0.255094076160319	0.629150107768901	0.199022058536817
334	3-34	0.283917403600004	0.61495010198005	0.213549639257208
335	2-8	0.283917403600004	0.593817615439532	0.206155186655502
336	3-42	0.280813823574736	0.59071868456811	0.188778318016871
337	2-20	0.281185834719327	0.665241420614833	0.229256626675968
338	2-26	0.251146062205832	0.578695154210584	0.18632762398801
339	4-54	0.27371035842334	0.678074155436175	0.231472343892715
340	4-54	0.27371035842334	0.678074155436175	0.231472343892715
341	4-47	0.308497748299463	0.652189619661353	0.202044617987341
342	4-43	0.298010863199907	0.560290780102107	0.162164653194369
343	4-48	0.262965165988351	0.558045569380609	0.1613524813556
344	3-42	0.280813823574736	0.59071868456811	0.188778318016871
345	3-34	0.283917403600004	0.61495010198005	0.213549639257208
346	4-28	0.292215099886471	0.642013273128424	0.198031179830077
347	2-20	0.281185834719327	0.665241420614833	0.229256626675968
348	4-3	0.252791556464687	0.632557733797806	0.198261272558716
349	4-44	0.298093258229914	0.61197478167791	0.195801750017683
350	2-41	0.266012226956428	0.588157070413988	0.171555500620323
351	4-48	0.262965165988351	0.558045569380609	0.1613524813556
352	2-74	0.254117476284278	0.583915420013174	0.179630763429851
353	4-15	0.323054297733569	0.709708988162088	0.252969224450115
354	4-28a	0.30999960304259	0.640190451846178	0.202287568018175
355	Ampcillin	0.279921873593189	0.585340437632859	0.20523797203797
356	2-18	0.269106909127511	0.623279000797671	0.20258772163499
357	2-18	0.269106909127511	0.623279000797671	0.20258772163499
358	4-60	0.248983160305401	0.629150107768901	0.192222293267338
359	2-24	0.235555809544267	0.581161364036417	0.187017105417634
360	2-70	0.275664982030078	0.601371242851587	0.195708853610231
361	4-18	0.294060209703615	0.600232800278084	0.179815906286126
362	2-72	0.245953684761389	0.570722669333395	0.174778376721886
363	2-19	0.28210050185823	0.597177491593772	0.189929628848113
364	Tetracycline	0.262823799319614	0.551506985581671	0.159524991926582
365	2-72	0.245953684761389	0.570722669333395	0.174778376721886
366	2-7	0.266518073429756	0.620174268190675	0.198451928088572
367	2-18	0.269106909127511	0.623279000797671	0.20258772163499
368	4-54	0.27371035842334	0.678074155436175	0.231472343892715
369	Ciprofloxacin	0.271057935779185	0.551083385958768	0.16631311268118
370	2-74	0.254117476284278	0.583915420013174	0.179630763429851
371	4-28	0.292215099886471	0.642013273128424	0.198031179830077
372	2-15	0.266809399075242	0.594057517732873	0.162970692454743
373	2-1	0.278592008658993	0.587430135421966	0.198158252797012
374	4-16	0.261013722944323	0.646506328764647	0.2131930321451
375	2-7	0.266518073429756	0.620174268190675	0.198451928088572
376	Chloramphenicol	0.311234243248074	0.579136558073038	0.184744299015168
377	4-44	0.298093258229914	0.61197478167791	0.195801750017683
378	4-28	0.292215099886471	0.642013273128424	0.198031179830077
379	2-71	0.248823633748566	0.570722669333395	0.176800220623484
380	2-30	0.265800824963167	0.591210931186767	0.188728756976853
381	4-30	0.241246990095279	0.596111273608615	0.184241289259885
382	2-3	0.249432733105048	0.628830281428369	0.193467441727868
383	3-38	0.282174596963477	0.598755384673191	0.211198003080254
384	4-33	0.249985800617293	0.591493168852208	0.179313855376752
385	4-30	0.241246990095279	0.596111273608615	0.184241289259885
386	2-59	0.261431598911075	0.57456058328237	0.184521669490274
387	4-28	0.292215099886471	0.642013273128424	0.198031179830077
388	2-15	0.266809399075242	0.594057517732873	0.162970692454743
389	2-99	0.251383201299433	0.588645377960144	0.185913936416699
390	2-72	0.245953684761389	0.570722669333395	0.174778376721886
391	4-35	0.300662118309395	0.645990615891975	0.235280202396135
392	2-23	0.250593163725851	0.602012220734969	0.195995906735686
393	2-12	0.265800824963167	0.596633292590503	0.190804298336417
394	4-60	0.248983160305401	0.629150107768901	0.192222293267338
395	2-12	0.265800824963167	0.596633292590503	0.190804298336417
396	4-3	0.252791556464687	0.632557733797806	0.198261272558716
397	4-55	0.276046033673513	0.706469601653371	0.251587986333337
398	2-19	0.28210050185823	0.597177491593772	0.189929628848113
399	4-30	0.241246990095279	0.596111273608615	0.184241289259885
400	2-7	0.266518073429756	0.620174268190675	0.198451928088572
401	2-54	0.255922713707961	0.554373147481406	0.174621250558351
402	Ciprofloxacin	0.271057935779185	0.551083385958768	0.16631311268118
403	2-17	0.258331956715208	0.586078228868668	0.181707032734805
404	4-58	0.257830885342325	0.572276674642815	0.160029125590493
405	2-68	0.247019841793112	0.576756553139067	0.177461625651896
406	2-18	0.269106909127511	0.623279000797671	0.20258772163499
407	3-42	0.280813823574736	0.59071868456811	0.188778318016871
408	2-96	0.281233716566747	0.56617829521453	0.19183022107402
409	2-16	0.255310602317901	0.610819672110929	0.195233745453329
410	Tetracycline	0.262823799319614	0.551506985581671	0.159524991926582
411	3-38	0.282174596963477	0.598755384673191	0.211198003080254
412	4-35	0.300662118309395	0.645990615891975	0.235280202396135
413	2-24	0.235555809544267	0.581161364036417	0.187017105417634
414	Ampcillin	0.279921873593189	0.585340437632859	0.20523797203797
415	4-44	0.298093258229914	0.61197478167791	0.195801750017683
416	2-24	0.235555809544267	0.581161364036417	0.187017105417634
417	2-25	0.255310602317902	0.622361850009899	0.203951209476116
418	4-3	0.252791556464687	0.632557733797806	0.198261272558716
419	2-7	0.266518073429756	0.620174268190675	0.198451928088572
420	2-61	0.243306869006767	0.559870882258849	0.171197850131592
421	4-35	0.300662118309395	0.645990615891975	0.235280202396135
422	2-58	0.259431617090804	0.575443014356499	0.171553518703319
423	4-39	0.294932141035524	0.646304514140263	0.168755379112478
424	2-59	0.261431598911075	0.57456058328237	0.184521669490274
425	2-39	0.282300485078746	0.63839524311998	0.224165390062114
426	4-58	0.257830885342325	0.572276674642815	0.160029125590493
427	4-15	0.323054297733569	0.709708988162088	0.252969224450115
428	2-16	0.255310602317901	0.610819672110929	0.195233745453329
429	2-65	0.251396834635605	0.567717962820808	0.171658096174601
430	3-24	0.275686477772359	0.631795017597857	0.21205942886647
431	4-30	0.241246990095279	0.596111273608615	0.184241289259885
432	4-33	0.249985800617293	0.591493168852208	0.179313855376752
433	2-99	0.251383201299433	0.588645377960144	0.185913936416699
434	4-35	0.300662118309395	0.645990615891975	0.235280202396135
435	2-41	0.266012226956428	0.588157070413988	0.171555500620323
436	3-38	0.282174596963477	0.598755384673191	0.211198003080254
437	2-41	0.266012226956428	0.588157070413988	0.171555500620323
438	4-43	0.298010863199907	0.560290780102107	0.162164653194369
439	3-29	0.237937963843807	0.577703319570194	0.178191456280888
440	2-99	0.251383201299433	0.588645377960144	0.185913936416699
441	2-54	0.255922713707961	0.554373147481406	0.174621250558351
442	2-84	0.256254206900589	0.579894515873418	0.175908920097263
443	2-19	0.28210050185823	0.597177491593772	0.189929628848113
444	3-34	0.283917403600004	0.61495010198005	0.213549639257208
445	2-73	0.275653675955187	0.604047922151961	0.200061528092024
446	4-44	0.298093258229914	0.61197478167791	0.195801750017683
447	4-39	0.294932141035524	0.646304514140263	0.168755379112478
448	4-18	0.294060209703615	0.600232800278084	0.179815906286126
449	3-38	0.282174596963477	0.598755384673191	0.211198003080254
450	4-30	0.241246990095279	0.596111273608615	0.184241289259885
451	2-96	0.281233716566747	0.56617829521453	0.19183022107402
452	4-3	0.252791556464687	0.632557733797806	0.198261272558716
453	3-39	0.279326767735149	0.604172954498859	0.210568192410777
454	2-7	0.266518073429756	0.620174268190675	0.198451928088572
455	2-30	0.265800824963167	0.591210931186767	0.188728756976853
456	2-54	0.255922713707961	0.554373147481406	0.174621250558351
457	Ciprofloxacin	0.271057935779185	0.551083385958768	0.16631311268118
458	4-55	0.276046033673513	0.706469601653371	0.251587986333337
459	2-24	0.235555809544267	0.581161364036417	0.187017105417634
460	2-12	0.265800824963167	0.596633292590503	0.190804298336417
461	2-1	0.278592008658993	0.587430135421966	0.198158252797012
462	4-33	0.249985800617293	0.591493168852208	0.179313855376752
463	4-54	0.27371035842334	0.678074155436175	0.231472343892715
464	2-8	0.283917403600004	0.593817615439532	0.206155186655502
465	4-45	0.301134160107229	0.564465462515787	0.160981332230198
466	2-46	0.251107279858468	0.571089086423536	0.179378913357386
467	2-7	0.266518073429756	0.620174268190675	0.198451928088572
468	3-39	0.279326767735149	0.604172954498859	0.210568192410777
469	2-90	0.245146063694808	0.575370407679454	0.180972626002934
470	2-25	0.255310602317902	0.622361850009899	0.203951209476116
471	4-45	0.301134160107229	0.564465462515787	0.160981332230198
472	2-82	0.232193894548798	0.558604872630648	0.173481357255124
473	Ampcillin	0.279921873593189	0.585340437632859	0.20523797203797
474	Ciprofloxacin	0.271057935779185	0.551083385958768	0.16631311268118
475	4-9	0.256779930542659	0.628082113651963	0.188288393437883
476	2-77	0.275653675955187	0.60910512103134	0.204349776239846
477	2-96	0.281233716566747	0.56617829521453	0.19183022107402
478	2-68	0.247019841793112	0.576756553139067	0.177461625651896
479	2-99	0.251383201299433	0.588645377960144	0.185913936416699
480	Tetracycline	0.262823799319614	0.551506985581671	0.159524991926582
481	2-64	0.248823633748566	0.563325998576732	0.174231401744875
482	3-38	0.282174596963477	0.598755384673191	0.211198003080254
483	Ciprofloxacin	0.271057935779185	0.551083385958768	0.16631311268118
484	2-72	0.245953684761389	0.570722669333395	0.174778376721886
485	2-100	0.281299161535948	0.593393773746601	0.169954297624162
486	2-54	0.255922713707961	0.554373147481406	0.174621250558351
487	2-39	0.282300485078746	0.63839524311998	0.224165390062114
488	2-59	0.261431598911075	0.57456058328237	0.184521669490274
489	4-14	0.297344813268167	0.7124677434101	0.23520193788134
490	Tetracycline	0.262823799319614	0.551506985581671	0.159524991926582
491	Ampcillin	0.279921873593189	0.585340437632859	0.20523797203797
492	2-71	0.248823633748566	0.570722669333395	0.176800220623484
493	2-26	0.251146062205832	0.578695154210584	0.18632762398801
494	2-2	0.283917403600004	0.663148152586247	0.230414583191695
495	2-54	0.255922713707961	0.554373147481406	0.174621250558351
496	2-75	0.249115286536491	0.578032650593475	0.181787495954436
497	2-97	0.286031422195875	0.573753113250731	0.20111553301599
498	4-14	0.297344813268167	0.7124677434101	0.23520193788134
499	2-17	0.258331956715208	0.586078228868668	0.181707032734805
500	2-39	0.282300485078746	0.63839524311998	0.224165390062114
501	4-37	0.300275559978988	0.650981611605362	0.183708480527962
502	3-24	0.275686477772359	0.631795017597857	0.21205942886647
503	4-39	0.294932141035524	0.646304514140263	0.168755379112478
504	4-37	0.300275559978988	0.650981611605362	0.183708480527962
505	2-14	0.277311095487906	0.598732481555928	0.196283089312594
506	2-17	0.258331956715208	0.586078228868668	0.181707032734805
507	2-49	0.246293740174472	0.559870882258849	0.173268419623671
508	2-72	0.245953684761389	0.570722669333395	0.174778376721886
509	2-49	0.246293740174472	0.559870882258849	0.173268419623671
510	2-53	0.258683047021199	0.559610948474691	0.171405763320656
511	3-33	0.274193143974452	0.605104956543681	0.175546372684979
512	2-75	0.249115286536491	0.578032650593475	0.181787495954436
513	2-30	0.265800824963167	0.591210931186767	0.188728756976853
514	2-59	0.261431598911075	0.57456058328237	0.184521669490274
515	4-39	0.294932141035524	0.646304514140263	0.168755379112478
516	2-18	0.269106909127511	0.623279000797671	0.20258772163499
517	3-50	0.25006426026564	0.638075092692536	0.201657163103576
518	3-42	0.280813823574736	0.59071868456811	0.188778318016871
519	2-39	0.282300485078746	0.63839524311998	0.224165390062114
520	2-41	0.266012226956428	0.588157070413988	0.171555500620323
521	4-28	0.292215099886471	0.642013273128424	0.198031179830077
522	2-75	0.249115286536491	0.578032650593475	0.181787495954436
523	4-43	0.298010863199907	0.560290780102107	0.162164653194369
524	2-75	0.249115286536491	0.578032650593475	0.181787495954436
525	4-44	0.298093258229914	0.61197478167791	0.195801750017683
526	2-14	0.277311095487906	0.598732481555928	0.196283089312594
527	2-1	0.278592008658993	0.587430135421966	0.198158252797012
528	2-59	0.261431598911075	0.57456058328237	0.184521669490274
529	4-33	0.249985800617293	0.591493168852208	0.179313855376752
530	2-78	0.275331908879534	0.604047922151961	0.200777377743366
531	4-54	0.27371035842334	0.678074155436175	0.231472343892715
532	4-47	0.308497748299463	0.652189619661353	0.202044617987341
533	2-56	0.283513075693295	0.570054000485565	0.188886283257634
534	2-90	0.245146063694808	0.575370407679454	0.180972626002934
535	4-45	0.301134160107229	0.564465462515787	0.160981332230198
536	2-1	0.278592008658993	0.587430135421966	0.198158252797012
537	4-39	0.294932141035524	0.646304514140263	0.168755379112478
538	2-26	0.251146062205832	0.578695154210584	0.18632762398801
