No.	NAME	SsCH3	SssCH2	SdssC	SaasC	SssssC	SsNH2	SdsN	SsssNH+	SssssN+	SaaNH	SdO	SssS	SaaS	NssCH2	NsssCH	NdssC	NssNH	NsNH3+	NssNH2+	NssssN+	NssO	minssCH2	minsssCH	mindssC	minaasC	minaaaC	minsssN	minaasN	MaxsCH3	MaxdCH2	MaxssCH2	MaxdsCH	MaxaaCH	MaxsssCH	MaxdssC	MaxssssC	MaxsOH	MaxdO	MaxssO
1266	2-75	1.7518311707399	4.46737632262118	1.40409121210213	0	-2.61116324693458	0	0	0	0	0	27.1267419209228	0	0	8	6	4	0	0	0	0	1	0.48224324452003	-0.979380196523054	-0.434955068447132	0	0	1.82241354875283	0	1.7518311707399	4.18415549667985	0.743485239774922	1.90981539220627	0	0.0742415175946918	1.06555014907197	-0.48490091175359	11.2923190665155	14.1131259448224	5.53196493739446
1267	2-95	0	0.192169924481884	0	0.489960848651777	0	5.51544453849288	0	0	0	0	24.2657775888133	0	0	2	4	0	0	0	0	0	3	0.0700355095742002	-0.750274943310658	0	0.0219401927437648	0	0	0	0	0	0.122134414907684	0	1.48612948265726	-0.526279814394894	0	0	9.5941297860589	12.1328887944067	5.31818693835559
1268	3-44	1.50561893738977	1.54624228395062	-0.0587926634152278	1.13181287792895	0	0	0	0	0	0	11.1270621697981	0	0	3	4	1	1	0	0	0	3	0.486220553036029	-0.0975246703619723	-0.0587926634152278	1.13181287792895	0	0	0	1.50561893738977	0	0.547867299697657	0	2.03066126178816	-0.0668284412530447	-0.0587926634152278	0	0	11.1270621697981	5.89352607709751
1269	2-2	0	0.671265935093046	0	0.924129237081528	0	0	0	0	0	0	24.4105479969766	0	0	2	4	0	0	1	0	0	3	0.205467608339632	-0.610743693310658	0	0.118815192743764	0	0	0	0	0	0.465798326753413	0	1.65501837154615	0.0175784601668438	0	0	0	12.2052739984883	5.51818693835559
1270	3-30	1.76681216931217	2.76814932917612	0.454917800453515	0	-3.04939803004535	0	3.8663137755102	0	0	0	12.8280490599017	0	0	5	4	2	0	0	0	0	1	0.231712962962963	-0.926637377173092	-0.376438964474679	0	0	0	0	1.76681216931217	4.13431342907533	0.72478481670446	1.87792139077853	0	0.0351322751322749	0.831356764928194	-0.320138888888889	11.0667345364072	12.8280490599017	6.03169099584278
1271	2-77	4.30788790207441	4.89977912152515	2.42395051859383	0	-0.135330805933484	0	0	0	0	0	11.8815098630259	0	0	6	4	3	1	0	0	0	0	0.564101290207441	-0.458113189720333	0.000210544209011454	0	0	0	0	2.21726812484253	0	0.997723450491308	1.99755857898715	0	0.401575963718821	1.22949344398253	-0.135330805933484	10.8058789210128	11.8815098630259	0
1272	2-37	3.27630693867053	1.54735615079365	0.56679534622491	2.1666406840514	-2.07183212868481	0	0	0	0	0	12.4193846056941	0	0	3	0	2	0	0	0	0	1	0.249240362811791	0	-0.290915821575543	0.0986130007558581	0	1.6974964569161	0	1.75853599773243	0	0.725189436885865	1.92762849584278	1.90646636432351	0	0.857711167800454	-0.557662037037037	10.9102153407659	12.4193846056941	5.25911273305619
1273	2-41	5.92216191865227	2.57157005857899	1.1776705404384	4.62696490800432	-0.357030068972034	0	0	1.37278385904153	0	0	0	0	0	3	0	1	0	0	0	0	1	0.705702947845805	0	1.1776705404384	0.232596739313009	0.90548495632821	0	0	2.16183048836819	0	0.969854103678508	2.1796164021164	2.03474306080457	0	1.1776705404384	-0.357030068972034	11.19479763666	0	5.4617710328826
1274	2-50	1.38415910808768	3.69685906924498	-0.269597505668934	0	-3.49900250377929	0	0	0	0	0	25.7960431232678	0	0	6	6	4	1	0	0	0	0	0.3565589569161	-1.57174414210128	-1.46666288737717	0	0	0	0	1.38415910808768	4.0809978898967	0.900784268182582	1.55783777399849	0	0.102566583732258	0.724256424792139	-0.652731481481481	11.1245301083396	13.4906179138322	0
1275	2-52	1.97094718442933	2.62336592970522	-0.200269274376416	3.10548800075586	-1.30802484882842	0	0	0	0	0	11.9426459750567	0	0	4	2	2	0	0	0	0	0	0.510185185185185	-0.620578703703704	-1.00740740740741	0.931898148148149	0	0	0	1.97094718442933	4.03949263038549	0.82912037037037	0	2.05867677626606	0.203541666666666	0.80713813303099	-0.433171296296296	10.7670526266062	11.9426459750567	0
1276	2-77	4.30788790207441	4.89977912152515	2.42395051859383	0	-0.135330805933484	0	0	0	0	0	11.8815098630259	0	0	6	4	3	1	0	0	0	0	0.564101290207441	-0.458113189720333	0.000210544209011454	0	0	0	0	2.21726812484253	0	0.997723450491308	1.99755857898715	0	0.401575963718821	1.22949344398253	-0.135330805933484	10.8058789210128	11.8815098630259	0
1277	2-71	1.70231253149408	2.23075647465776	1.06806151318552	0	-2.68371012062232	0	0	0	0	0	26.1384246267952	0	0	6	5	4	1	0	0	0	1	-0.177672521940876	-0.998210060258671	-0.469129319937852	0	0	0	0	1.70231253149408	4.11012211829176	0.716983182161754	1.86029675296044	0	0.0469690098261522	1.01810043461829	-0.520225812547241	11.1095802626606	13.3437825963719	5.43981398809524
1278	2-67	4.22087188733518	5.30288443772571	1.99759764476778	0	-0.540484654509952	0	0	0	0	0	37.1191520219199	0	0	7	3	4	0	0	0	0	0	0.425082435752079	0.0320138888888881	0.217653625493408	0	0	0	0	2.19388180272109	0	0.97087962962963	1.82004338309398	0	0.373799130763417	1.20025604686319	-0.138018235071806	0	12.999167611489	0
1279	3-21	1.80320105820106	2.68060870181406	0.455794858066684	0	-3.08981922398589	0	7.77450810185185	0	0	0	13.0795683342782	0	0	5	4	2	0	0	0	0	1	0.214121551398337	-0.653489229024943	-0.362642668178382	0	0	0	0	1.80320105820106	4.14655707768262	0.707016250944823	1.91431027966742	0	0.0115353363567645	0.818437526245066	-0.346738591269841	11.1337715734442	13.0795683342782	6.11455947656841
1280	2-34	3.9969341563786	5.11983552217183	-0.336074079323087	4.45770431783825	-0.0390740740740743	0	0	1.58594973020072	0	0	11.9165890337617	0	0	6	3	1	1	0	0	0	3	0.475580514613253	-0.0517592592592593	-0.336074079323087	0.809014786470144	0	0	0	2.30026919564122	0	1.13087301587302	0	2.2169637345679	0.544904572940287	-0.336074079323087	-0.0390740740740743	0	11.9165890337617	6.47075113378685
1281	2-3	2.22761385109599	4.80154903628118	1.07306405895692	4.47483985260771	-0.402631330309902	0	0	0	0	0	0	0	0	5	2	1	0	1	0	0	0	0.884419406651549	0.495162037037037	1.07306405895692	1.4036824452003	0	0	0	2.22761385109599	4.20738756613757	1.09967592592593	0	2.31534344293273	0.600625	1.07306405895692	0.194722222222222	10.8737230725624	0	0
1282	2-54	1.22992866591081	1.3031890117158	-1.92255196523054	0	-4.04599820483749	0	0	0	0	0	24.1856955861048	0	0	4	5	4	0	0	0	0	0	0.17192932728647	-1.69153580876795	-1.60367394179894	0	0	0	0	1.22992866591081	3.92608245149912	0.465849395313681	1.40360733182162	0	-0.309490740740741	0.557173091458806	-0.916759259259259	10.848665595868	12.1964512471655	0
1283	4-60	4.00769358360628	5.17194578294281	0	4.56373252078609	0.00606481481481458	0	0	1.58963453745696	0	0	0	0	0	6	3	0	0	1	0	0	2	0.244736788233813	0.0972222222222219	0	0.839396730914588	0	0	0	2.29795634920635	0	1.15530257936508	0	2.22421721466364	0.555921201814059	0	0.00606481481481458	9.70423122952885	0	6.41236961451247
1284	2-65	2.79505385650204	1.22110346240961	-0.280153336797682	0	-3.11110910336357	0	0	0	0	0	38.7435457435448	0	0	5	6	5	1	0	0	0	2	-0.643274373792726	-1.25735496976568	-0.782524001112792	0	0	0	0	1.63067531179138	4.09245165311814	0.620187783446712	1.78865953325775	0	-0.085830367640884	0.906635671243807	-0.700117276077097	11.2137402229538	13.7667956349206	5.44244859383275
1285	4-6	2.18604363504661	4.28643211451247	0.302230725623583	4.26824263038549	-0.408603552532124	0	0	0	0	0	12.6632577475435	0	0	6	2	1	0	1	0	0	0	0.0272753684807259	0.385532407407407	0.302230725623583	1.34617819349962	0	0	0	2.18604363504661	0	1.04092592592593	0	2.26304752456538	0.49099537037037	0.302230725623583	0.0359722222222225	9.84930933484505	12.6632577475435	0
1286	2-38	4.95191431510876	1.81471891534392	0.887501128537836	1.45405347169732	-0.539050925925926	0	3.42810696963971	0	0	0	13.243814877803	0	0	3	2	3	0	0	0	0	2	0.388082955404384	-0.338483560090703	-0.0167885487528341	-0.00193546863189664	0	2.05588458994709	0	1.94129566641471	0	0.720425170068027	1.8736470143613	1.72784131708239	-0.180827664399093	0.478760104350382	-0.539050925925926	10.9008256960191	13.243814877803	5.39248039493575
1287	3-40	4.07274284559503	0.799690649407911	0	0.153918073402201	0	0	0	1.23061714513374	0	0	24.5071403376165	0	0	2	4	0	0	0	0	0	3	0.241246929327287	-0.579114701436131	0	0.153918073402201	0	0	0	2.03637142279751	0	0.558443720080625	0	1.76217173430693	0.211138300999412	0	0	0	12.2535701688083	5.70990504535147
1288	2-14	0	1.02157407407407	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	1	0	0	2	0.40412037037037	-0.433564814814815	0	0	0	0	0	0	0	0.617453703703704	0	0	0.196435185185185	0	0	9.23935185185185	0	5.26388888888889
1289	2-85	1.71191680839002	2.24948519511493	-0.288752939447382	0	-3.5803158856135	0	0	0	0	0	25.5248550214967	0	0	5	4	3	1	0	0	0	2	0.0661343773620551	-1.01003529961367	-0.60537745653817	0	0	0	0	1.71191680839002	4.12898959120685	0.648512534643487	1.82302602985639	0	-0.0844867514907206	0.76221012324683	-0.515566539115646	11.1630790869684	12.9582830732729	6.04092639833711
1290	2-79	1.74454628320238	3.57427649697788	1.23923668071721	2.44162327099947	-2.68677524161948	0	0	0	0	0	27.119312293709	0	0	7	5	4	1	0	0	0	3	0.211549529401955	-0.9974777312406	-0.447646279574664	0.704172597183961	0	0	0	1.74454628320238	4.19622108823439	0.728090866852383	1.90253050466875	1.95854521137733	0.0513515770811941	1.04751939271781	-0.516959054270111	11.3530478796073	14.028746430671	5.55214106587187
1291	4-12	7.26576388888889	2.86592592592593	0	0	0.646435185185185	0	0	0	0	0	0	0	0	2	4	0	0	1	0	0	0	1.37962962962963	0.742384259259259	0	0	0	0	0	2.4387037037037	0	1.4862962962963	0	0	0.991851851851852	0	0.646435185185185	0	0	0
1292	2-55	1.86601217617483	0.934407680312713	-4.29984717942758	2.59309965333955	-1.65123350497606	0	0	0	0	0	47.5991224385294	0	0	6	3	4	0	0	1	0	0	-0.715596650123166	-1.35518004115226	-1.5268944703685	0.751429325811541	0	0	0	1.86601217617483	0	0.621317003653313	0	1.93611039229997	-0.0601556069958853	-0.0800859788359785	-0.776014778596624	0	13.1988246409675	0
1293	2-84	3.41952570108987	2.62942778104344	0.590995462228102	0	-2.8043931187476	0	0	0	0	0	38.350166640734	0	0	7	5	5	1	0	0	0	2	0.0523274780591241	-1.02905249130312	-0.488235448564182	0	0	0	0	1.724582995804	4.13259919541045	0.692008902326363	1.85292692675223	0	0.0107932156894994	0.996243247426509	-0.567376858150668	11.2202289292621	13.6832474332326	5.47698633012772
1294	2-91	1.86064116696061	0.0397326152683299	0	0	0	0	0	0	0	0	44.1025780003359	0	0	2	4	0	0	0	0	0	4	0.0198663076341647	-0.765592403628119	0	0	0	0	0	0.930320583480306	0	0.0198663076341652	0	0	-0.632893518518519	0	0	0	11.025644500084	5.29
1295	2-54	1.22992866591081	1.3031890117158	-1.92255196523054	0	-4.04599820483749	0	0	0	0	0	24.1856955861048	0	0	4	5	4	0	0	0	0	0	0.17192932728647	-1.69153580876795	-1.60367394179894	0	0	0	0	1.22992866591081	3.92608245149912	0.465849395313681	1.40360733182162	0	-0.309490740740741	0.557173091458806	-0.916759259259259	10.848665595868	12.1964512471655	0
1296	2-95	0	0.192169924481884	0	0.489960848651777	0	5.51544453849288	0	0	0	0	24.2657775888133	0	0	2	4	0	0	0	0	0	3	0.0700355095742002	-0.750274943310658	0	0.0219401927437648	0	0	0	0	0	0.122134414907684	0	1.48612948265726	-0.526279814394894	0	0	9.5941297860589	12.1328887944067	5.31818693835559
1297	2-37	3.27630693867053	1.54735615079365	0.56679534622491	2.1666406840514	-2.07183212868481	0	0	0	0	0	12.4193846056941	0	0	3	0	2	0	0	0	0	1	0.249240362811791	0	-0.290915821575543	0.0986130007558581	0	1.6974964569161	0	1.75853599773243	0	0.725189436885865	1.92762849584278	1.90646636432351	0	0.857711167800454	-0.557662037037037	10.9102153407659	12.4193846056941	5.25911273305619
1298	2-33	3.57299254115226	1.83765329743008	1.27560912173512	0	-0.509050925925926	0	0	0	0	0	24.4759397833207	0	0	3	2	6	0	0	0	0	1	0.277314814814815	0.0223148148148142	-0.378129540396405	0	0	2.25752739984883	0	2.06413517258755	0	0.822487008692366	2.09339899848828	0	0.130927815570672	0.872191515495087	-0.509050925925926	10.4548874874024	12.4857676681784	5.24643983056185
1299	4-4	4.50710742630385	5.29701199924414	0	4.5867294973545	-0.10864984882842	0	0	0	0	0	0	0	0	5	3	0	0	1	0	0	0	0.969398148148148	0.440896636432351	0	1.43334986772487	0	0	0	2.25706585411943	0	1.18300925925926	0	2.34501086545729	0.661458333333333	0	0.294259259259259	10.9732601095994	0	0
1300	2-75	1.7518311707399	4.46737632262118	1.40409121210213	0	-2.61116324693458	0	0	0	0	0	27.1267419209228	0	0	8	6	4	0	0	0	0	1	0.48224324452003	-0.979380196523054	-0.434955068447132	0	0	1.82241354875283	0	1.7518311707399	4.18415549667985	0.743485239774922	1.90981539220627	0	0.0742415175946918	1.06555014907197	-0.48490091175359	11.2923190665155	14.1131259448224	5.53196493739446
1301	2-94	0	-0.0486307161753583	0	-1.09042986793483	0	0	0	0	0	0	46.4350878090497	0	0	2	4	0	0	0	0	0	3	-0.0771284486016626	-0.951888699924415	0	-0.564499690308222	0	0	0	0	0	0.0284977324263043	0	1.36807392710171	-0.647260015117159	0	0	9.60507237695099	12.2832383786848	5.26289218002016
1302	3-21	1.80320105820106	2.68060870181406	0.455794858066684	0	-3.08981922398589	0	7.77450810185185	0	0	0	13.0795683342782	0	0	5	4	2	0	0	0	0	1	0.214121551398337	-0.653489229024943	-0.362642668178382	0	0	0	0	1.80320105820106	4.14655707768262	0.707016250944823	1.91431027966742	0	0.0115353363567645	0.818437526245066	-0.346738591269841	11.1337715734442	13.0795683342782	6.11455947656841
1303	3-30	1.76681216931217	2.76814932917612	0.454917800453515	0	-3.04939803004535	0	3.8663137755102	0	0	0	12.8280490599017	0	0	5	4	2	0	0	0	0	1	0.231712962962963	-0.926637377173092	-0.376438964474679	0	0	0	0	1.76681216931217	4.13431342907533	0.72478481670446	1.87792139077853	0	0.0351322751322749	0.831356764928194	-0.320138888888889	11.0667345364072	12.8280490599017	6.03169099584278
1304	2-23	2.15541438334593	3.99390376984127	0.259590419501134	4.08262188208617	-0.570007676681783	0	0	0	0	0	12.7782642825649	0	0	7	2	1	0	0	1	0	0	-0.0115568310657594	0.230115740740741	0.259590419501134	1.29112244897959	0	0	0	2.15541438334593	0	0.992280092592593	0	2.2324182728647	0.419877645502645	0.259590419501134	-0.0677777777777775	9.91809830876795	12.7782642825649	0
1305	2-3	2.22761385109599	4.80154903628118	1.07306405895692	4.47483985260771	-0.402631330309902	0	0	0	0	0	0	0	0	5	2	1	0	1	0	0	0	0.884419406651549	0.495162037037037	1.07306405895692	1.4036824452003	0	0	0	2.22761385109599	4.20738756613757	1.09967592592593	0	2.31534344293273	0.600625	1.07306405895692	0.194722222222222	10.8737230725624	0	0
1306	3-29	1.76638699924414	2.52843277588813	0.478089569160998	0	-2.95725410997732	0	0	0	0	0	12.6919788910935	0	0	5	4	2	0	0	0	0	1	-0.0703703703703704	-0.903040438397581	-0.364853080120937	0	0	0	0	1.76638699924414	4.11012597631645	0.742376228269086	1.87749622071051	0	0.0566666666666664	0.842942649281935	-0.305694444444445	10.9586350466112	12.6919788910935	5.9772160808768
1307	2-73	4.18622123540774	4.62511169900059	2.44516886704432	0	-0.234867842970521	0	0	0	0	0	24.6972812317586	0	0	6	3	4	1	0	0	0	0	0.534433867682876	-0.0531547619047623	-0.0294568783155538	0	0	0	0	2.1564347915092	0	0.936890117157974	1.80311413454271	0	0.321887755102041	1.13341319706895	-0.234867842970521	0	12.8381990898211	0
