No.	NAME	WiA_G	J_G	VE1sign_G	VE3sign_G	SpPosA_RG	VE1_RG	VE2_RG	VE3_RG	VE1sign_RG	VE2sign_RG	VE3sign_RG	Chi_G/D	J_G/D	SpMaxA_G/D	VE1sign_G/D	VE3sign_G/D	AVS_Coulomb	H_Coulomb	Chi_Coulomb	ChiA_Coulomb	SpMAD_Coulomb	VE1_Coulomb	VE2_Coulomb	VE1sign_Coulomb	VE3sign_Coulomb
1123	2-58	5.89308994981243	2.39852199433576	0.377090232869898	-3.00723848532994	0.442950432958425	3.08107071133685	0.0433953621315049	3.46978182574132	0.0780618090337146	0.0010994620990664	-7.86368585788514	1.1393934002483	14.2424175031037	0.908849873695493	0.145173614358148	-5.95059740451547	260.919443289485	6534.95713701354	0.313744936039971	0.00418326581386628	30.0899898870502	5.03173205649892	0.0708694655844918	0.425686342780951	-2.63346300924177
1124	2-19	5.89207041277327	2.41599579591362	0.389496050799502	-2.00653501282271	0.442866160445199	2.87909199523427	0.0587569794945769	2.25035215605579	0.0915337555255414	0.00186803582705187	-5.08825172146025	1.06099761676616	13.5277196137685	0.954977885820348	0.0400593009922394	-6.84675350229716	173.68914193871	3520.55961554145	0.31429106706228	0.00616256994239764	26.74709292874	6.2067990537851	0.126669368444594	0.195874460253237	-3.46930871753831
1125	4-4	4.56099646296697	2.49366571115293	0.203035717925789	-3.1851667508487	0.456672000446813	2.34965349655278	0.0510794238381038	1.70661757925832	0.196052093776804	0.00426200203862618	-3.25509116994701	1.05058617678687	10.2957445325113	0.979979368842064	0.196943256437538	-3.24603087256525	156.912288746955	2851.29488139466	0.312286530556975	0.00637319450116276	23.4802589769843	3.60377305407369	0.0783428924798627	0.614315647377684	-0.973398743606367
1126	2-45	3.89880967712038	2.68457297613261	0.184866505227727	-1.90616859871185	0.417255005926795	3.69037804708041	0.1419376171954	1.47438423112269	0.016159476352454	0.000621518321248231	-4.65808906325993	1.04196456445395	9.37768108008557	0.967153097050134	0.0859330947365742	-2.77118282359628	198.147041719538	1100.60955219376	0.155618604763212	0.00576365202826712	37.7807473272656	3.22400798411742	0.124000307081439	0.125181152987879	-2.34639873694498
1127	2-94	4.69674404685163	2.25401673740333	0.208819072115961	-2.38080443422354	0.411080347630199	2.64268845193716	0.0755053843410616	1.47716088423035	0.0682211670651522	0.00194917620186149	-4.08128299373697	1.07963642851203	9.98663696373627	0.959909670234604	0.178386856148729	-2.6202300192167	275.843694399124	2091.04262702699	0.169259610457634	0.00457458406642255	50.0976040023665	3.03723858556592	0.0867782453018834	0.0135437108705067	-6.5389181412309
1128	2-12	5.25164779453822	2.3177297222375	0.319453848211963	-2.47795937946301	0.447751849908558	2.46273944784753	0.0492547889569505	1.95709233457575	0.138776513899096	0.00277553027798192	-4.28842013147619	1.09965498370315	11.6563428272533	0.938429484783768	0.0957616346392351	-5.09404224592695	178.648435933319	3411.98660190771	0.309581579355841	0.0058411618746385	25.817496831241	6.32843049114232	0.126568609822846	0.0107997948685192	-9.8329224671561
1129	4-45	5.8787766724655	2.70874460253092	0.0723039140188391	-4.90560422757639	0.43992485916338	2.24067833527327	0.0521087984947272	1.50663191476376	0.19735345922759	0.00458961533087419	-3.03044760446582	1.08990226145389	15.9852331679904	0.918610193823704	0.119182272572073	-3.97228985206142	194.135755947741	2719.13048471274	0.261579108691702	0.00594497974299323	32.0681381748032	3.27998991539458	0.0762788352417344	1.17543624705698	0.301856039578029
1130	2-54	4.70476333126205	2.50762772879984	0.00351051225023366	-11.7822216341703	0.443611672422471	2.34770128355837	0.0489104434074659	1.77908561951388	0.234996629765489	0.00489576312011434	-3.01890415763517	1.03073594266031	10.5135066151352	0.996250802076463	0.0829381867129129	-5.18997822671169	231.544070143279	2891.92692091132	0.241375442170147	0.00473285180725779	31.7087204667275	5.00154318556961	0.104198816366034	0.496405969951063	-1.45998241999307
1131	3-40	5.54355616594154	2.21657001748218	0.373374401881574	-1.75420738639027	0.426373865391529	3.41893460496374	0.0833886489015546	2.18895225535509	0.236994947965948	0.00578036458453531	-2.56356973825721	1.02485745581333	11.0172176499933	0.995018501230276	0.0644199941477596	-4.88301520777638	213.324710777727	2867.76179036491	0.248404739916227	0.00577685441665644	42.144474791842	3.86816640771557	0.0943455221394043	1.11014381536838	0.18605489961801
1132	3-41	5.29125692052552	2.21679228898736	0.0644174549690954	-4.64488610609283	0.420263903667743	2.39005632291292	0.0612834954593055	1.47579172822663	0.278823596698136	0.0071493229922599	-2.16321485210689	1.05734561068335	10.8377925095043	0.970292843129086	0.0890067488710809	-4.09725054198652	236.998026442331	2551.52383395921	0.216941218130402	0.00529124922269273	44.8868439186127	3.14952222629128	0.080756980161315	0.23739598792311	-2.43565383769926
