No.	NAME	MDEC-11	MDEC-12	MDEC-13	MDEC-14	MDEC-22	MDEC-23	MDEC-33	MDEC-34	MDEC-44	MDEO-11	MDEO-12	MDEO-22	MDEN-11	MDEN-12	MDEN-13	MDEN-22	MDEN-23	MDEN-33
1485	4-6	0	2.09237304456178	2.18224727194344	0.408248290463863	10.6285885688537	19.5916360888738	7.13593705309337	5.32172711454192	0.5	0.25	0	0	0	0	0	0	0	0
1486	3-31	0.451168542689741	3.83886062523405	5.59158382985633	3.19853832184107	5.10949830974602	13.8807344260589	7.62839382937347	12.3695863160022	2.14426131671523	0.972080648619833	1.88854837371836	0.2	0	0	0	0	0	0
1487	Chloramphenicol	0	0	0	0	3.83851949637377	10.438087368103	5.1330537040448	0	0	1.62191798851256	0	0	0	0	0	0	0.142857142857143	0
1488	2-61	0.142857142857143	2.88145973158378	3.97521842489469	2.4491442319098	5.10949830974602	13.8807344260589	7.62839382937347	12.3695863160022	2.14426131671523	1.82886754778313	1.21097103408372	0	0	0	0	0	0	0
1489	2-65	0.349951402387601	3.33570911022467	6.96538810199681	2.1266359202401	4.08950134714728	18.5916899268547	16.9888512994924	11.5362073672524	0.96548938460563	2.2124901242871	2.203564804589	0.111111111111111	0	0	0	0	0	0
1490	3-2	0	1.03055099418103	1.54928489231522	0	13.502368714452	18.1658844315024	6.91825418040149	0	0	0.550321208149105	2.12552966082634	1	0	0	0	0	0	0
1491	2-92	0.905443344312384	4.60883222466548	7.07278853726644	3.93427248792317	5.10949830974602	13.3383758735677	7.62839382937347	12.3695863160022	2.14426131671523	0.454280148208035	2.48699013373971	1.41714461162103	0	0	0	0	0	0
1492	4-17	0	0	0	0	9.71420020291249	15.8668418306429	7.07106781186547	0	0	0	0	0	0	0	0	0	0	0
1493	2-33	0.142857142857143	2.99741410879141	3.46524811133686	0.447213595499958	6.40670916220216	20.2705514349124	10.4103548242765	4.29827972729417	0	0.598408480588576	0.543690186501446	0	0	0	0	0	0	0
1494	2-92	0.905443344312384	4.60883222466548	7.07278853726644	3.93427248792317	5.10949830974602	13.3383758735677	7.62839382937347	12.3695863160022	2.14426131671523	0.454280148208035	2.48699013373971	1.41714461162103	0	0	0	0	0	0
1495	Chloramphenicol	0	0	0	0	3.83851949637377	10.438087368103	5.1330537040448	0	0	1.62191798851256	0	0	0	0	0	0	0.142857142857143	0
1496	2-70	0.337553190589582	4.57727692101318	5.01022838602458	1.63976914470736	6.86087578209554	18.6920128821213	7.62078612464892	6.13872130812724	0.25	1.3516258365282	0.767949800638233	0	0	0	0	0	0	0
1497	2-49	0.142857142857143	2.44759467598226	4.91150083001104	1.94416129723967	3.70107172487153	15.1375531189574	13.50387595166	10.8766256916757	0.96548938460563	1.82886754778313	1.12580003210051	0	0	0	0	0	0	0
1498	2-45	0	0	0	0	0.766309432393553	6.33248632199283	4.32963838586645	0	0	0.5	1.25992104989487	1	0	1.4142135623731	0	1	0	0
1499	2-52	0.142857142857143	3.41352328042096	4.20247194188347	1.15470053837925	6.86904149793305	17.4922971516498	9.56307385775422	6.01090566830418	0.5	0.721124785153704	0	0	0	0	0	0	0	0
1500	3-42	0	0	0	0	8.60681529996079	10.9683831424841	4.32963838586645	0	0	0	0	1	0	0	0	0	0	0
1501	4-60	0.111111111111111	3.37259334168693	3.29121709284053	0.447213595499958	7.71668196352881	19.9085901638632	9.38020245364637	4.44554494612844	0	0	0.288675134594813	0.333333333333333	0	0	0.166666666666667	0	0	0
1502	2-36	0.550321208149105	4.44234325679871	4.24126680060148	0.696238325041917	7.73798445212182	21.6583782828053	10.5622028918883	4.08585799077522	0	0.142857142857143	1.12774456307179	0.622369900024683	0	0	0	0	0	0
1503	2-71	0.142857142857143	2.94236429241669	4.91150083001104	1.94416129723967	5.47192993687936	18.1676730157326	13.50387595166	10.8766256916757	0.96548938460563	1.47761358427536	1.03810911634626	0	0	0	0	0	0	0
1504	2-56	0.166666666666667	3.79280239438564	4.4645270852272	1.78885438199983	6.60114067407737	20.5243103304641	10.4956690995237	6.18316991845137	0.25	3.95905074325645	0	0	0	0	0	0	0	0
1505	4-4	0.142857142857143	3.85918934603672	3.78332221342812	1.15470053837925	8.60305539267674	18.3050250170917	7.13593705309337	5.32172711454192	0.5	0	0	0	0	0	0	0	0	0
1506	2-90	0.142857142857143	2.88251944726238	5.15483865039571	1.94416129723967	5.26577200067463	19.6399258215934	15.1406271274301	11.2832078938093	0.96548938460563	0.972080648619833	0.970983543414647	0	0	0	0	0	0	0
1507	2-50	0.142857142857143	2.88251944726238	5.15483865039571	1.94416129723967	5.26577200067463	19.5593763885489	15.0048177565947	11.2832078938093	0.96548938460563	2.79301312770149	0	0	0	0	0	0	0	0
1508	4-46	0	0	0	0	17.791823395721	11.3431992275707	2.3811015779523	0	0	0.5	0	0	0	0.142857142857143	0	0	0	0
1509	2-53	0.142857142857143	3.47690944566992	5.08584827143403	1.94416129723967	10.9983139369041	28.4253066352076	15.7334460379777	10.6510344155938	0.96548938460563	2.79301312770149	1.01163238289656	0.5	0	0	0	0	0	0
1510	2-25	0.142857142857143	4.19791858625618	3.57098065385285	1.37317809593808	9.71950010949913	18.5970421995296	7.13593705309337	5.32172711454192	0.5	0.125	0	0	0	0	0	0	0	0
1511	2-79	0.142857142857143	3.47690944566992	5.08584827143403	1.94416129723967	10.9983139369041	28.4873245792069	15.8304005699923	10.6510344155938	0.96548938460563	0.972080648619833	1.48310880906744	0.442319809662701	0	0	0	0	0	0
1512	4-46	0	0	0	0	17.791823395721	11.3431992275707	2.3811015779523	0	0	0.5	0	0	0	0.142857142857143	0	0	0	0
1513	2-30	0.0833333333333333	3.44941204001472	2.91310360288438	0	10.367266822184	24.1636559817911	9.59543352052827	0	0	0	0.166666666666667	0	0	0	0	0	0.166666666666667	0
1514	2-95	0	0	0	0	4.00091374578098	10.7878653568329	4.67604634100445	0	0	0.650697636830499	2.47174315580058	1	0	0	0	0	0	0
1515	2-94	0	0	0	0	4.1395116132394	9.9555861922462	5.4799137560948	0	0	1.95517840200915	3.20131021529878	1	0	0	0	0	0	0
1516	2-24	0	1.351666931931	3.02074963982664	1.37317809593808	8.25071889723396	21.5036082733736	15.3662151927545	15.9016299340669	2.14426131671523	0.972080648619833	1.77172788170425	0.333333333333333	0	0	0	0.142857142857143	0	0
1517	4-37a	0	0.408248290463863	1.54066956768309	0	0.25	4.64039152435013	4.83240973765229	0	0	0	0.814325284978472	1	0	0	0	0	0	0
1518	2-98	0	0	0	0	7.91082392094776	16.4348517853025	7.48935573298971	0	0	1.10064241629821	3.69915876733023	1.83677180433689	0.0769230769230769	0	0	0	0	0
1519	2-43	0.142857142857143	2.88145973158378	4.4894498009477	1.94416129723967	5.10949830974602	16.288254431245	10.7024435032994	10.1399235607076	0.96548938460563	2.884345382173	0	0	0	0	0	0	0	0
1520	3-40	0.5	1.8663350505888	2.53247842056059	0	6.27936039071812	9.14706853037803	4.32963838586645	0	0	0.5	1.62865056995694	1	0	0	0	0	0	0
1521	2-49	0.142857142857143	2.44759467598226	4.91150083001104	1.94416129723967	3.70107172487153	15.1375531189574	13.50387595166	10.8766256916757	0.96548938460563	1.82886754778313	1.12580003210051	0	0	0	0	0	0	0
1522	2-75	0.142857142857143	3.47599539139537	5.01777190881242	1.94416129723967	8.94449190239642	23.9123528713191	14.0398328122708	10.9025308041227	0.96548938460563	1.40577398900016	1.01646284122245	0	0	0	0	0	0	0
1523	2-75	0.142857142857143	3.47599539139537	5.01777190881242	1.94416129723967	8.94449190239642	23.9123528713191	14.0398328122708	10.9025308041227	0.96548938460563	1.40577398900016	1.01646284122245	0	0	0	0	0	0	0
1524	3-37	0	1.59069104351073	1.15010148027255	0	4.00091374578098	10.7878653568329	4.67604634100445	0	0	0.650697636830499	2.47174315580058	1	0	0	0	0	0	0
1525	3-50	0.142857142857143	3.58678224809964	3.57098065385285	1.37317809593808	6.86904149793305	15.8617274019146	7.13593705309337	5.32172711454192	0.5	0	0	0	0	0	0	0	0	0
1526	4-62	1.59780299250242	7.55854518332623	7.40368675568332	4.01062576830047	7.01658297152714	14.065744724053	5.02609772455282	7.44655192281258	0.825481812223657	0.111111111111111	0.471404520791032	0	0	0	0	0	0	0
1527	4-60	0.111111111111111	3.37259334168693	3.29121709284053	0.447213595499958	7.71668196352881	19.9085901638632	9.38020245364637	4.44554494612844	0	0	0.288675134594813	0.333333333333333	0	0	0.166666666666667	0	0	0
1528	3-5	0.5	1.70510789938098	2.5619496659994	0	4.00091374578098	10.7878653568329	4.67604634100445	0	0	0.5	1.62865056995694	1	0	0	0	0	0	0
1529	2-49	0.142857142857143	2.44759467598226	4.91150083001104	1.94416129723967	3.70107172487153	15.1375531189574	13.50387595166	10.8766256916757	0.96548938460563	1.82886754778313	1.12580003210051	0	0	0	0	0	0	0
1530	3-10	1.11185157166159	6.89623084806587	6.31011210178951	1.94196708682929	8.60305539267674	18.3050250170917	7.13593705309337	5.32172711454192	0.5	0	0	0	0	0	0	0	0	0
1531	3-9	0.451168542689741	5.37004367972233	5.02790529240252	1.54308184421705	8.60305539267674	18.3050250170917	7.13593705309337	5.32172711454192	0.5	0	0	0	0	0	0	0	0	0
1532	2-40	0.783555017121509	4.04099302741046	8.71076102596516	0.845897010752451	2.95890058659393	17.0723407294621	17.064655092571	4.88359341930587	0	0.504717259721992	1.79770506643269	0.454280148208035	0	0	0	0	0	0
1533	4-41	0	0.572357121276666	0.985603299839201	0	0.766309432393553	6.33248632199283	4.32963838586645	0	0	0	1.04338972004886	1.5874010519682	0	0	0	0	0	0
1534	4-3a	0.142857142857143	4.03005025548935	3.57098065385285	1.37317809593808	8.60305539267674	18.3050250170917	7.13593705309337	5.32172711454192	0.5	0	0	0	0	0	0	0	0	0
1535	3-26	0.299204240294288	4.68000419916169	4.94995383159115	0	9.89909768066141	26.753345202498	12.5303274224459	0	0	0.1	0.196116135138184	0	0	0	0	0.1	0.333333333333333	0
1536	2-90	0.142857142857143	2.88251944726238	5.15483865039571	1.94416129723967	5.26577200067463	19.6399258215934	15.1406271274301	11.2832078938093	0.96548938460563	0.972080648619833	0.970983543414647	0	0	0	0	0	0	0
1537	2-66	0.142857142857143	3.24013806710229	5.22205644337699	1.94416129723967	7.96240315732298	26.0618382682616	16.7244260361685	10.9952817211487	0.96548938460563	0.972080648619833	0.970983543414647	0	0	0	0	0	0	0
1538	3-11	2.1787450337268	8.42827981349138	7.60630677927553	2.34477069843096	8.60305539267674	18.3050250170917	7.13593705309337	5.32172711454192	0.5	0	0	0	0	0	0	0	0	0
1539	2-16	0.142857142857143	4.03933732903667	3.78332221342812	1.15470053837925	9.71950010949913	18.5970421995296	7.13593705309337	5.32172711454192	0.5	0.125	0	0	0	0	0	0	0	0
1540	2-83	0	1.59900364464442	2.96021887816492	1.37317809593808	12.5532300436627	22.5000178411409	14.0903740723012	15.1669883595736	2.14426131671523	1.54940988842204	1.97838846515961	0.333333333333333	0	0	0	0	0	0
1541	2-38	0.349951402387601	3.66491941326755	5.7605904284569	0.646330407009565	4.46725601493793	18.8613763399607	13.7802265028485	4.58575641234582	0	0.45856606309932	1.11567907574238	0.125	0	0	0	0	0.166666666666667	0
1542	4-3a	0.142857142857143	4.03005025548935	3.57098065385285	1.37317809593808	8.60305539267674	18.3050250170917	7.13593705309337	5.32172711454192	0.5	0	0	0	0	0	0	0	0	0
1543	2-63	0.337553190589582	5.00122774113055	5.86526747076963	1.63976914470736	8.41916881813263	23.0165425624008	10.4956690995237	6.18316991845137	0.25	1.3516258365282	0.767949800638233	0	0	0	0	0.87720532146386	0	0
