No.	NAME	WHALES00_Rem	WHALES10_Rem	WHALES20_Rem	WHALES30_Rem	WHALES40_Rem	WHALES50_Rem	WHALES60_Rem	WHALES70_Rem	WHALES80_Rem	WHALES90_Rem	WHALES100_Rem	WHALES00_Isol	WHALES10_Isol	WHALES30_Isol	WHALES40_Isol	WHALES60_Isol	WHALES70_Isol	WHALES80_Isol	WHALES90_Isol	WHALES100_Isol	WHALES00_IR	WHALES10_IR	WHALES20_IR	WHALES30_IR	WHALES40_IR	WHALES50_IR	WHALES90_IR	WHALES100_IR
1702	2-36	-1.771	-1.045	-0.936	-0.766	-0.504	0.345	0.619	0.651	1.088	1.898	2.444	-0.107	-0.082	-0.058	-0.019	0.057	0.06	0.071	0.119	0.179	-0.155	-0.123	-0.065	-0.055	-0.011	0.026	0.191	0.4
1703	3-26	-1.838	-1.26	-1.088	-0.922	-0.76	-0.562	-0.1	0.575	0.77	0.964	1.897	-0.164	-0.107	-0.071	-0.061	0	0.053	0.083	0.102	0.137	-0.358	-0.146	-0.121	-0.075	-0.062	-0.039	0.194	0.251
1704	3-25	-1.672	-1.21	-1.039	-0.901	-0.773	-0.43	0.351	0.718	1.004	1.199	1.829	-0.176	-0.128	-0.052	-0.038	0.028	0.045	0.055	0.12	0.317	-0.235	-0.149	-0.093	-0.068	-0.033	-0.022	0.138	0.281
1705	3-45	-2.013	-1.429	-1.271	-1.183	-0.983	-0.824	-0.515	0.304	0.511	0.637	0.786	-0.234	-0.177	-0.128	-0.104	-0.041	0.064	0.124	0.139	0.2	-0.683	-0.194	-0.142	-0.124	-0.094	-0.05	0.27	0.704
1706	2-68	-1.999	-1.434	-1.225	-0.999	-0.782	-0.585	-0.158	0.485	0.719	1.093	1.397	-0.131	-0.125	-0.092	-0.083	-0.01	0.061	0.082	0.116	0.134	-0.261	-0.192	-0.137	-0.092	-0.081	-0.05	0.199	0.514
1707	2-3	-2.262	-1.61	-1.262	-1.03	-0.914	-0.853	-0.765	-0.613	-0.482	0.504	1.083	-0.433	-0.222	-0.135	-0.102	-0.076	-0.066	-0.051	0.129	0.247	-0.879	-0.273	-0.172	-0.144	-0.13	-0.104	0.172	0.316
1708	2-97	-2.342	-1.411	-1.221	-1.057	-0.844	-0.65	-0.023	0.53	0.67	0.725	1.462	-0.159	-0.139	-0.1	-0.09	-0.013	0.086	0.1	0.125	0.188	-0.369	-0.183	-0.112	-0.109	-0.088	-0.072	0.22	0.269
1709	2-67	-2.66	-1.821	-1.325	-1.14	-0.787	-0.676	-0.54	0.375	0.569	0.721	1.358	-0.255	-0.17	-0.146	-0.119	-0.073	0.062	0.162	0.191	0.247	-0.24	-0.21	-0.2	-0.128	-0.103	-0.068	0.318	1.06
1710	3-49	-1.895	-1.564	-1.428	-1.202	-0.914	-0.627	-0.52	0.32	0.709	1.025	1.881	-0.326	-0.201	-0.103	-0.074	-0.04	0.105	0.118	0.15	0.178	-0.435	-0.252	-0.134	-0.095	-0.08	-0.044	0.19	0.479
1711	3-10	-2.148	-1.693	-1.271	-0.928	-0.893	-0.781	-0.666	-0.56	0.345	0.846	1.584	-0.244	-0.176	-0.121	-0.089	-0.06	-0.053	0.054	0.152	0.24	-0.797	-0.204	-0.156	-0.122	-0.108	-0.09	0.192	0.303
1712	4-50	-4.507	-2.294	-2.201	-2.039	-1.472	-1.18	-0.66	0.237	0.612	0.717	1.196	-0.237	-0.204	-0.168	-0.135	-0.053	0.041	0.123	0.171	0.3	-0.291	-0.186	-0.12	-0.103	-0.089	-0.075	0.253	0.415
1713	2-45	-1.983	-1.438	-1.228	-0.802	-0.457	0.629	0.768	0.862	1.086	1.406	1.9	-0.52	-0.337	-0.068	-0.03	0.149	0.228	0.242	0.265	0.396	-0.701	-0.547	-0.082	-0.051	-0.02	0.074	0.363	0.515
1714	3-35	-4.148	-2.381	-1.765	-1.299	-1.195	-0.801	-0.069	0.445	0.624	0.849	1.312	-0.253	-0.205	-0.134	-0.125	0.056	0.149	0.169	0.241	0.282	-0.327	-0.212	-0.122	-0.106	-0.059	-0.038	0.39	0.93
1715	2-71	-1.918	-1.564	-1.14	-0.93	-0.735	-0.61	-0.447	0.35	0.578	0.819	1.16	-0.136	-0.12	-0.098	-0.08	-0.053	0.061	0.101	0.119	0.134	-0.215	-0.163	-0.142	-0.126	-0.087	-0.065	0.26	0.565
1716	4-29	-3.047	-2.3	-1.827	-1.443	-1.058	-0.744	0.393	0.81	0.865	1.018	1.17	-0.501	-0.401	-0.229	-0.214	0.091	0.122	0.131	0.2	0.483	-0.526	-0.27	-0.216	-0.206	-0.12	-0.085	0.222	1.228
1717	2-43	-1.663	-1.442	-1.387	-1.278	-0.944	-0.746	-0.655	0.094	0.372	0.649	0.934	-0.189	-0.167	-0.101	-0.093	-0.044	0.083	0.145	0.161	0.23	-0.277	-0.178	-0.141	-0.116	-0.082	-0.05	0.417	0.843
1718	4-50	-4.821	-2.355	-1.732	-1.289	-1.147	-1.017	-0.689	0.208	0.552	0.727	1.207	-0.266	-0.142	-0.087	-0.071	-0.016	0.051	0.088	0.107	0.138	-0.224	-0.146	-0.092	-0.08	-0.05	-0.03	0.175	0.236
