No.	NAME	Ro5	DLS_01	DLS_02	DLS_03	DLS_04	DLS_05	DLS_06	DLS_07	DLS_cons	LLS_01	LLS_02	QED
1571	3-2	0	1	1	1	0.8	0.5	1	1	0.9	0.333333333333333	1	0.740982145577988
1572	3-15	0	1	1	1	1	1	1	1	1	0.833333333333333	1	0.875876455336982
1573	2-73	0	1	1	1	1	1	1	1	1	0.5	1	0.862511601497231
1574	2-84	0	1	1	1	1	1	1	1	1	0.333333333333333	0.875	0.387613653210711
1575	2-95	0	1	1	1	0.9	1	1	1	0.985714285714286	0.5	1	0.520307912789436
1576	2-69	0	1	0.833333333333333	1	1	0.5	1	1	0.904761904761905	0.5	0.75	0.273238253449651
1577	4-62	0	1	1	1	1	1	1	1	1	0.333333333333333	1	0.620590302856804
1578	2-71	0	1	1	1	1	1	1	1	1	0.333333333333333	0.875	0.363317306604378
1579	3-39	0	1	0.833333333333333	1	0.9	1	1	1	0.961904761904762	0.333333333333333	1	0.711036855851037
1580	4-62	0	1	1	1	1	1	1	1	1	0.333333333333333	1	0.620590302856804
1581	4-37a	0	1	0.666666666666667	0.833333333333333	0.9	1	1	1	0.914285714285714	0.666666666666667	0.875	0.490250706603622
1582	2-53	0	0.75	0.5	0.833333333333333	0.9	1	0.666666666666667	0.5	0.735714285714286	0.166666666666667	0.75	0.340961218623315
1583	2-25	0	1	1	1	0.9	0.5	1	1	0.914285714285714	0.833333333333333	1	0.895711398449172
1584	2-52	0	1	1	1	0.8	0.5	1	1	0.9	0.666666666666667	1	0.85390540475651
1585	3-50	0	1	0.833333333333333	1	0.7	0.5	1	1	0.861904761904762	1	1	0.806300203702287
1586	2-55	0	1	0.833333333333333	1	0.9	1	0.833333333333333	1	0.938095238095238	0.333333333333333	1	0.430805600195448
1587	2-82	0	1	0.833333333333333	1	1	1	1	1	0.976190476190476	0.5	0.875	0.254205547321918
1588	4-60	0	1	0.833333333333333	0.833333333333333	0.9	1	1	1	0.938095238095238	0.166666666666667	0.875	0.726870113931982
1589	3-36	0	1	1	1	1	1	1	1	1	0.333333333333333	1	0.755596225814978
1590	2-83	0	1	0.666666666666667	1	1	1	1	1	0.952380952380952	0.333333333333333	0.75	0.364677049520679
1591	3-21	0	1	0.833333333333333	1	0.8	0.5	0.833333333333333	1	0.852380952380952	0.5	0.875	0.20947881327677
1592	3-7	0	1	1	1	1	0.5	1	1	0.928571428571429	0.333333333333333	1	0.707521212389725
1593	3-6	0	1	0.833333333333333	1	0.9	1	1	1	0.961904761904762	0.333333333333333	1	0.552907010962653
1594	3-46	0	1	1	1	0.7	1	1	1	0.957142857142857	1	1	0.824134112842269
1595	2-76	0	1	1	1	0.8	0.5	1	1	0.9	0.833333333333333	1	0.843534902321714
1596	2-82	0	1	0.833333333333333	1	1	1	1	1	0.976190476190476	0.5	0.875	0.254205547321918
1597	2-86	0	1	1	1	1	1	1	1	1	0.333333333333333	1	0.646668172760832
1598	3-26	0	1	1	1	1	0.5	1	1	0.928571428571429	0.333333333333333	1	0.70534827734157
1599	2-43	0	1	1	1	1	1	1	1	1	0.5	1	0.555572286804086
1600	4-39	0	1	0.666666666666667	0.833333333333333	0.9	1	1	1	0.914285714285714	1	1	0.656737636305789
1601	2-32	0	1	1	1	1	1	1	1	1	0.666666666666667	1	0.917304767187169
1602	4-16	0	1	1	1	0.9	1	1	1	0.985714285714286	0.166666666666667	1	0.648565703810977
1603	2-51	0	1	0.833333333333333	1	1	1	0.833333333333333	1	0.952380952380952	0.166666666666667	0.875	0.375824819552324
1604	2-79	0	1	0.666666666666667	1	0.8	0.5	1	1	0.852380952380952	0.333333333333333	0.75	0.397561662034197
1605	2-37	0	1	1	1	0.8	0.5	1	1	0.9	0.5	1	0.874007851812831
1606	2-100	0	1	0.833333333333333	1	0.9	1	1	1	0.961904761904762	0.333333333333333	1	0.653926584837143
1607	2-93	0	1	1	1	0.8	0.5	1	1	0.9	0.333333333333333	0.875	0.40149767960441
1608	3-12	0	1	1	1	0.8	0.5	1	1	0.9	0.666666666666667	1	0.84121413963485
1609	2-84	0	1	1	1	1	1	1	1	1	0.333333333333333	0.875	0.387613653210711
1610	4-49	0	1	1	1	0.7	0.5	1	1	0.885714285714286	0.833333333333333	1	0.719871127063917
1611	2-38	0	1	1	1	1	1	1	1	1	0.5	1	0.605166307617009
1612	4-29	0	1	0.833333333333333	1	0.5	1	1	1	0.904761904761905	1	1	0.713714004021213
1613	4-27	0	1	0.833333333333333	0.833333333333333	0.4	0.5	1	1	0.795238095238095	1	1	0.671045902377042
1614	3-12	0	1	1	1	0.8	0.5	1	1	0.9	0.666666666666667	1	0.84121413963485
1615	2-36	0	1	0.833333333333333	1	0.9	0.5	1	1	0.890476190476191	0.333333333333333	1	0.864300372030281
1616	2-66	0	1	0.666666666666667	1	0.8	0.5	1	1	0.852380952380952	0.333333333333333	0.75	0.429250967081439
1617	3-11	0	1	1	1	1	1	1	1	1	0.833333333333333	1	0.629718754421112
1618	3-21	0	1	0.833333333333333	1	0.8	0.5	0.833333333333333	1	0.852380952380952	0.5	0.875	0.20947881327677
1619	4-2	0	0.75	0.666666666666667	0.666666666666667	0.8	1	0.833333333333333	1	0.816666666666667	0.333333333333333	0.875	0.640149480947604
1620	3-50	0	1	0.833333333333333	1	0.7	0.5	1	1	0.861904761904762	1	1	0.806300203702287
1621	3-25	0	1	1	1	0.9	1	1	1	0.985714285714286	0.333333333333333	1	0.517865298148719
1622	4-60	0	1	0.833333333333333	0.833333333333333	0.9	1	1	1	0.938095238095238	0.166666666666667	0.875	0.726870113931982
1623	3-30	0	1	1	1	0.8	0.5	1	1	0.9	0.5	0.875	0.237222594387011
1624	4-20	0	1	0.833333333333333	1	0.9	1	1	1	0.961904761904762	1	1	0.748217829493559
1625	2-5	0	1	0.833333333333333	1	0.7	0.5	1	1	0.861904761904762	0.833333333333333	1	0.81679274306798
1626	2-87	0	1	0.666666666666667	1	1	1	1	1	0.952380952380952	0.5	0.875	0.661655902789785
1627	3-6	0	1	0.833333333333333	1	0.9	1	1	1	0.961904761904762	0.333333333333333	1	0.552907010962653
1628	2-81	0	1	0.833333333333333	1	1	1	1	1	0.976190476190476	0.5	0.875	0.374329426209962
1629	2-84	0	1	1	1	1	1	1	1	1	0.333333333333333	0.875	0.387613653210711
1630	2-94	0	1	0.833333333333333	1	0.6	0.5	1	1	0.847619047619048	0.333333333333333	0.875	0.520591572608756
1631	2-79	0	1	0.666666666666667	1	0.8	0.5	1	1	0.852380952380952	0.333333333333333	0.75	0.397561662034197
1632	3-25	0	1	1	1	0.9	1	1	1	0.985714285714286	0.333333333333333	1	0.517865298148719
