No.	NAME	nCIR	Rperim	MCD	RCI	NRS	nSpiro	nBridgeHead	nR05	nR06	nR07	nR08	nR09	nR10	nR12	D/Dtr04	D/Dtr05	D/Dtr06	D/Dtr11
2121	3-9	10	14	0.714285714285714	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	53.5615582130288	69.7460795740208	0
2122	4-6	10	14	0.714285714285714	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	53.5150363525364	70.9931873681874	0
2123	4-31	3	10	0.588235294117647	1.2	1	0	0	0	2	0	0	0	1	0	0	0	77.4611055611056	0
2124	4-51	16	18	0.571428571428571	1.5	2	1	4	3	2	2	0	2	2	0	0	162.970060288868	129.95045693041	0
2125	3-52	10	14	0.681818181818182	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	57.2197847087553	73.8192785972198	0
2126	3-15	10	14	0.75	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	49.4688825063825	65.1236069486069	0
2127	3-6	4	14	0.608695652173913	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	104.05478965479	75.5055220922868	0
2128	4-59	10	16	0.551724137931034	1.375	1	0	0	2	2	0	0	3	0	1	0	80.4831514890339	100.132148407148	0
2129	2-27	10	14	0.5	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	96.1868617622488	127.676804417633	0
2130	3-15	10	14	0.75	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	49.4688825063825	65.1236069486069	0
2131	2-69	15	15	0.62962962962963	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	108.077811077811	88.7515571030277	0
2132	2-57	6	14	0.636363636363636	1.28571428571429	1	0	0	0	3	0	0	0	2	0	0	0	120.822344322344	0
2133	3-10	10	14	0.681818181818182	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	57.6542339196751	74.3685521994345	0
2134	2-76	10	14	0.714285714285714	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	53.5615582130288	69.7460795740207	0
2135	3-12	10	14	0.652173913043478	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	62.5008333170098	79.9438514100279	0
2136	2-87	19	28	0.896551724137931	1.38461538461538	1	3	0	3	3	1	0	1	2	0	0	139.80490227773	128.683450046685	157.270504254947
2137	2-33	10	16	0.739130434782609	1.41176470588235	1	0	2	0	4	0	1	0	3	1	0	0	140.190129151894	0
2138	4-49	2	12	0.75	1	2	0	0	0	2	0	0	0	0	0	0	0	105.517171717172	0
2139	4-47	1	6	0.272727272727273	1	1	0	0	0	1	0	0	0	0	0	0	0	82.6047619047619	0
2140	2-88	12	27	0.892857142857143	1.32	1	2	0	3	3	0	0	1	2	0	0	140.980579925638	131.107877545571	0
2141	4-55a	3	8	0.571428571428571	1.25	1	0	0	2	0	0	1	0	0	0	0	55.2075396825397	0	0
2142	2-29	24	15	0.75	1.61111111111111	1	1	2	1	4	0	1	3	3	1	0	22.305730294817	123.386346616919	167.980714701535
2143	4-9	10	14	0.652173913043478	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	62.4348165723166	83.5997807747808	0
2144	2-93	15	15	0.586206896551724	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	122.989520700318	100.088817911535	0
2145	3-26	6	19	0.633333333333333	1.21052631578947	2	0	0	1	3	0	0	1	1	0	0	62.5169195183901	215.535938657146	0
2146	2-80	10	14	0.555555555555556	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	76.6805031569738	99.1602126631538	0
2147	3-7	4	14	0.608695652173913	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	105.06351981352	75.7829479344185	0
2148	3-52	10	14	0.681818181818182	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	57.2197847087553	73.8192785972198	0
2149	2-57	6	14	0.636363636363636	1.28571428571429	1	0	0	0	3	0	0	0	2	0	0	0	120.822344322344	0
2150	2-35	10	16	0.68	1.41176470588235	1	0	2	0	4	0	1	0	3	1	0	0	159.360431888373	0
2151	2-73	6	15	0.652173913043478	1.26666666666667	1	0	0	0	2	1	0	0	1	0	0	0	77.0683466859937	74.0553229450288
2152	2-86	6	13	0.433333333333333	1.30769230769231	1	0	0	1	2	0	0	1	1	0	0	62.227325237542	134.810242470807	0
2153	3-53	10	14	0.681818181818182	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	57.6542339196751	74.3685521994345	0
2154	2-23	10	14	0.652173913043478	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	62.0773496111731	80.7145459116047	0
2155	2-48	11	19	0.625	1.35	2	1	2	3	2	1	0	2	1	0	0	173.632482433026	124.101433439282	0
2156	3-40	4	14	0.666666666666667	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	91.6489593739594	67.9300318962084	0
2157	4-41	3	8	0.533333333333333	1.25	1	0	0	2	0	0	1	0	0	0	0	62.1797619047619	0	0
2158	2-51	11	19	0.625	1.35	2	1	2	3	2	1	0	2	1	0	0	173.632482433026	124.101433439282	0
2159	2-27	10	14	0.5	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	96.1868617622488	127.676804417633	0
2160	2-50	11	17	0.620689655172414	1.38888888888889	2	1	2	2	2	1	0	2	1	0	0	84.88669893488	108.147734197347	0
2161	2-85	15	15	0.586206896551724	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	122.989520700318	100.088817911535	0
2162	4-41	3	8	0.533333333333333	1.25	1	0	0	2	0	0	1	0	0	0	0	62.1797619047619	0	0
2163	2-79	18	24	0.722222222222222	1.46153846153846	2	1	4	4	3	2	0	3	2	0	0	247.992923566291	217.021716242068	0
2164	3-35	4	14	0.636363636363636	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	99.235742035742	71.9354114839409	0
2165	2-69	15	15	0.62962962962963	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	108.077811077811	88.7515571030277	0
2166	3-54	10	14	0.714285714285714	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	53.9029637029637	72.7895687645688	0
2167	2-27	10	14	0.5	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	96.1868617622488	127.676804417633	0
2168	2-28	10	14	0.517241379310345	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	91.0513225465625	120.668050916232	0
2169	2-35	10	16	0.68	1.41176470588235	1	0	2	0	4	0	1	0	3	1	0	0	159.360431888373	0
2170	3-43	4	14	0.736842105263158	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	80.4977688977689	59.6877924363219	0
2171	2-48	11	19	0.625	1.35	2	1	2	3	2	1	0	2	1	0	0	173.632482433026	124.101433439282	0
2172	3-48	10	14	0.652173913043478	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	61.2659385549091	79.6888590168002	0
2173	2-66	16	21	0.676470588235294	1.43478260869565	2	1	4	3	3	2	0	2	2	0	0	156.998126709144	217.599964256776	0
2174	3-46	10	14	0.714285714285714	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	53.5150363525364	70.9931873681874	0
2175	2-69	15	15	0.62962962962963	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	108.077811077811	88.7515571030277	0
2176	3-26	6	19	0.633333333333333	1.21052631578947	2	0	0	1	3	0	0	1	1	0	0	62.5169195183901	215.535938657146	0
2177	2-61	15	15	0.68	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	95.6731615606615	78.7451451326451	0
2178	3-41	4	14	0.636363636363636	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	97.9811022311022	71.9162812677519	0
2179	3-48	10	14	0.652173913043478	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	61.2659385549091	79.6888590168002	0
2180	3-54	10	14	0.714285714285714	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	53.9029637029637	72.7895687645688	0
2181	2-83	25	22	0.705882352941177	1.5	2	2	4	3	3	3	1	2	3	0	0	145.719409205196	204.274223909233	107.584844335418
2182	2-92	15	15	0.607142857142857	1.58823529411765	1	2	4	3	2	2	1	1	2	1	0	111.297103141956	91.4415335481512	0
2183	2-93	15	15	0.586206896551724	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	122.989520700318	100.088817911535	0
2184	3-52	10	14	0.681818181818182	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	57.2197847087553	73.8192785972198	0
2185	4-2	10	16	0.739130434782609	1.41176470588235	1	0	2	0	4	0	1	0	3	1	0	0	140.343242705007	0
2186	4-51	16	18	0.571428571428571	1.5	2	1	4	3	2	2	0	2	2	0	0	162.970060288868	129.95045693041	0
2187	2-57	6	14	0.636363636363636	1.28571428571429	1	0	0	0	3	0	0	0	2	0	0	0	120.822344322344	0
2188	2-28	10	14	0.517241379310345	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	91.0513225465625	120.668050916232	0
2189	4-63	3	18	0.9	1	3	0	0	0	3	0	0	0	0	0	0	0	194.941991341991	0
2190	2-85	15	15	0.586206896551724	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	122.989520700318	100.088817911535	0
2191	2-97	5	20	0.666666666666667	1.1	3	0	0	2	2	0	1	0	0	0	0	144.173865023865	203.740504410413	0
2192	2-98	5	20	0.666666666666667	1.1	3	0	0	2	2	0	1	0	0	0	0	139.303474303474	201.899986817896	0
2193	2-32	10	16	0.708333333333333	1.41176470588235	1	0	2	0	4	0	1	0	3	1	0	0	150.222272009037	0
2194	3-5	4	14	0.636363636363636	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	98.7313769563769	71.796698562875	0
2195	3-26	6	19	0.633333333333333	1.21052631578947	2	0	0	1	3	0	0	1	1	0	0	62.5169195183901	215.535938657146	0
2196	4-27	2	12	0.857142857142857	1	2	0	0	0	2	0	0	0	0	0	0	0	87.4378066378066	0
2197	3-9	10	14	0.714285714285714	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	53.5615582130288	69.7460795740208	0
2198	2-50	11	17	0.620689655172414	1.38888888888889	2	1	2	2	2	1	0	2	1	0	0	84.88669893488	108.147734197347	0
2199	2-88	12	27	0.892857142857143	1.32	1	2	0	3	3	0	0	1	2	0	0	140.980579925638	131.107877545571	0
2200	2-16	10	14	0.681818181818182	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	58.0311957650193	74.8449654920243	0
2201	2-44	6	13	0.565217391304348	1.30769230769231	1	0	0	1	2	0	0	1	1	0	0	40.0577172827173	86.4959040959041	0
2202	2-80	10	14	0.555555555555556	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	76.6805031569738	99.1602126631538	0
2203	4-29	2	12	0.75	1	2	0	0	0	2	0	0	0	0	0	0	0	107.525407925408	0
2204	2-66	16	21	0.676470588235294	1.43478260869565	2	1	4	3	3	2	0	2	2	0	0	156.998126709144	217.599964256776	0
2205	3-37	4	14	0.7	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	88.0845515595516	64.3790515040515	0
2206	3-54	10	14	0.714285714285714	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	53.9029637029637	72.7895687645688	0
2207	4-20	2	12	0.75	1	2	0	0	0	2	0	0	0	0	0	0	0	107.525407925408	0
2208	2-45	3	8	0.5	1.25	1	0	0	2	0	0	1	0	0	0	0	66.7642857142857	0	0
2209	4-29	2	12	0.75	1	2	0	0	0	2	0	0	0	0	0	0	0	107.525407925408	0
2210	2-32	10	16	0.708333333333333	1.41176470588235	1	0	2	0	4	0	1	0	3	1	0	0	150.222272009037	0
2211	3-7	4	14	0.608695652173913	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	105.06351981352	75.7829479344185	0
2212	2-57	6	14	0.636363636363636	1.28571428571429	1	0	0	0	3	0	0	0	2	0	0	0	120.822344322344	0
2213	3-31	15	15	0.653846153846154	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	101.531657231657	83.2878208392914	0
2214	4-47	1	6	0.272727272727273	1	1	0	0	0	1	0	0	0	0	0	0	0	82.6047619047619	0
2215	2-46	10	14	0.681818181818182	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	57.1732628482628	75.0663863913864	0
2216	3-7	4	14	0.608695652173913	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	105.06351981352	75.7829479344185	0
2217	3-11	10	14	0.652173913043478	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	61.7469096263214	78.9910248248484	0
2218	2-82	25	19	0.7	1.57142857142857	2	2	4	3	2	3	1	2	3	0	0	120.815111952031	94.3316563037925	88.2508925285241
2219	2-45	3	8	0.5	1.25	1	0	0	2	0	0	1	0	0	0	0	66.7642857142857	0	0
2220	3-7	4	14	0.608695652173913	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	105.06351981352	75.7829479344185	0
2221	3-52	10	14	0.681818181818182	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	57.2197847087553	73.8192785972198	0
2222	2-51	11	19	0.625	1.35	2	1	2	3	2	1	0	2	1	0	0	173.632482433026	124.101433439282	0
2223	3-7	4	14	0.608695652173913	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	105.06351981352	75.7829479344185	0
2224	3-43	4	14	0.736842105263158	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	80.4977688977689	59.6877924363219	0
2225	4-20	2	12	0.75	1	2	0	0	0	2	0	0	0	0	0	0	0	107.525407925408	0
2226	3-9	10	14	0.714285714285714	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	53.5615582130288	69.7460795740208	0
2227	2-88	12	27	0.892857142857143	1.32	1	2	0	3	3	0	0	1	2	0	0	140.980579925638	131.107877545571	0
2228	4-27	2	12	0.857142857142857	1	2	0	0	0	2	0	0	0	0	0	0	0	87.4378066378066	0
2229	2-60	6	13	0.464285714285714	1.30769230769231	1	0	0	1	2	0	0	1	1	0	0	55.5264860182817	119.96887389786	0
2230	3-9	10	14	0.714285714285714	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	53.5615582130288	69.7460795740208	0
2231	4-27	2	12	0.857142857142857	1	2	0	0	0	2	0	0	0	0	0	0	0	87.4378066378066	0
2232	3-7	4	14	0.608695652173913	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	105.06351981352	75.7829479344185	0
2233	2-38	10	16	0.653846153846154	1.41176470588235	1	0	2	0	4	0	1	0	3	1	0	0	167.057549966373	0
2234	2-65	15	15	0.53125	1.58823529411765	1	1	4	3	2	2	0	2	2	0	0	145.267466842583	112.744739251976	0
2235	2-57	6	14	0.636363636363636	1.28571428571429	1	0	0	0	3	0	0	0	2	0	0	0	120.822344322344	0
2236	3-6	4	14	0.608695652173913	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	104.05478965479	75.5055220922868	0
2237	3-11	10	14	0.652173913043478	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	61.7469096263214	78.9910248248484	0
2238	2-23	10	14	0.652173913043478	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	62.0773496111731	80.7145459116047	0
2239	2-88	12	27	0.892857142857143	1.32	1	2	0	3	3	0	0	1	2	0	0	140.980579925638	131.107877545571	0
2240	3-31	15	15	0.653846153846154	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	101.531657231657	83.2878208392914	0
2241	3-9	10	14	0.714285714285714	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	53.5615582130288	69.7460795740208	0
2242	2-35	10	16	0.68	1.41176470588235	1	0	2	0	4	0	1	0	3	1	0	0	159.360431888373	0
2243	Chloramphenicol	1	6	0.3	1	1	0	0	0	1	0	0	0	0	0	0	0	76.2311688311688	0
