No.	NAME	Eta_epsi_A	Eta_betaS_A	Eta_beta_A	Eta_C_A	Eta_L	Eta_F_A	Eta_FL	Eta_FL_A	Eta_B	Eta_B_A	Eta_sh_y	Eta_sh_x	Eta_D_AlphaB	Eta_epsi_2	Eta_epsi_3	Eta_epsi_5	Eta_D_epsiB	Eta_D_epsiC	Eta_D_epsiD	Eta_psi1	Eta_D_beta	Eta_D_beta_A
53	SCE-796	0.693209876543209	0.657142857142857	1.22857142857143	0.917463295295614	8.0042132323614	1.14467339284293	8.68023507338863	0.248006716382532	1.07355169424997	0.030672905549999	0.418032786885246	0	0.0352380946278572	0.906666666666666	0.445833333333332	0.858771929824561	0.0714927048260384	-0.175883838383838	0.0478947368421052	0.512605042016807	-3	-0.0857142857142857
54	Cefsulodin	0.712121212121211	0.659722222222222	1.25694444444444	0.92751787470993	8.15518757514539	1.20294673941353	8.82990199348687	0.245275055374635	1.27291043136774	0.0353586230935483	0.372047244094488	0.0492125984251969	0.0296296291053295	0.929629629629629	0.445454545454544	0.881196581196581	0.0738127544097696	-0.192853912256897	0.0484330484330484	0.50597609561753	-2.25	-0.0625
55	SCE-796	0.693209876543209	0.657142857142857	1.22857142857143	0.917463295295614	8.0042132323614	1.14467339284293	8.68023507338863	0.248006716382532	1.07355169424997	0.030672905549999	0.418032786885246	0	0.0352380946278572	0.906666666666666	0.445833333333332	0.858771929824561	0.0714927048260384	-0.175883838383838	0.0478947368421052	0.512605042016807	-3	-0.0857142857142857
56	Ceftazidime	0.698275862068964	0.675675675675676	1.17567567567568	1.04843738909747	9.072148047416	1.09768486778858	8.41876013812969	0.227534057787289	1.26709181445431	0.0342457247149814	0.362068965517241	0.028735632183908	0.0297297295182943	0.924324324324324	0.445098039215685	0.8775	0.0482758620689657	-0.204901960784313	0.0468243243243244	0.508771929824562	-6.5	-0.175675675675676
57	Cefoperazone	0.698095238095237	0.681818181818182	1.17045454545455	1.08824224121845	10.9560547064745	1.19291533874216	10.054092101971	0.228502093226615	1.33385319155448	0.0303148452626018	0.420880913539967	0	0.0356060601770878	0.933333333333333	0.443089430894307	0.89290780141844	0.0408302808302811	-0.214175526370649	0.0404255319148936	0.497564935064935	-8.5	-0.193181818181818
58	Aztreonam	0.762015503875969	0.669642857142857	1.15178571428571	0.948962260106511	6.54456432129924	1.08762962034389	6.20817898686845	0.221720678102445	1.3332566918323	0.0476163104225823	0.342857142857143	0.103896103896104	0.0416666679084301	1.00952380952381	0.44	0.940860215053763	0.0205340223944877	-0.301481481481481	0.0686635944700461	0.454009433962264	-5.25	-0.1875
59	Imipenem	0.638738738738739	0.65	0.95	0.972551953091335	5.93791367143937	0.667042671324798	3.54735599375357	0.177367799687678	0.600730334807067	0.0300365167403534	0.416370106761566	0	0.0316666662693024	0.926666666666666	0.442857142857143	0.822222222222222	0.0173712173712173	-0.178510378510378	0.104444444444444	0.505395683453238	-7	-0.35
60	Moxalactam	0.743827160493826	0.673611111111111	1.1875	0.959331841941422	8.07090162214468	1.2005075606194	9.03019555803754	0.250838765501043	1.15690281981778	0.0321361894393828	0.388090349075975	0.0308008213552361	0.0490740723907948	0.96574074074074	0.443999999999999	0.930701754385965	0.0572680207088812	-0.242559139784946	0.0350389863547758	0.466922339405561	-5.75	-0.159722222222222
61	SCE-796	0.693209876543209	0.657142857142857	1.22857142857143	0.917463295295614	8.0042132323614	1.14467339284293	8.68023507338863	0.248006716382532	1.07355169424997	0.030672905549999	0.418032786885246	0	0.0352380946278572	0.906666666666666	0.445833333333332	0.858771929824561	0.0714927048260384	-0.175883838383838	0.0478947368421052	0.512605042016807	-3	-0.0857142857142857
62	Imipenem	0.638738738738739	0.65	0.95	0.972551953091335	5.93791367143937	0.667042671324798	3.54735599375357	0.177367799687678	0.600730334807067	0.0300365167403534	0.416370106761566	0	0.0316666662693024	0.926666666666666	0.442857142857143	0.822222222222222	0.0173712173712173	-0.178510378510378	0.104444444444444	0.505395683453238	-7	-0.35
