No.	NAME	J_G	VE2_G	VE2sign_G	VE3sign_G	H_RG	J_RG	SpPosA_RG	SM5_RG	VE1_RG	VE2_RG	VE3_RG	VE1sign_RG	VE2sign_RG	VE3sign_RG	J_G/D	SpPosA_G/D	SpMaxA_G/D	SM3_G/D	VE1_G/D	VE2_G/D	VE1sign_G/D	VE2sign_G/D	VE3sign_G/D	Chi_Coulomb	J_Coulomb	HyWi_Coulomb	SpAbs_Coulomb	SpMaxA_Coulomb	VE1_Coulomb	VE2_Coulomb	VE3_Coulomb	VE1sign_Coulomb	VE2sign_Coulomb	VE3sign_Coulomb	VR2_Coulomb
156	Ceftazidime	2.01442368349301	0.119312935594331	0.00156110932435373	-6.05020439448255	95967.90894357	190.272382597333	0.412813146316663	7.13559527070489	1.98278405697834	0.0341859320168679	1.72419742558658	0.199104114627642	0.00343282956254556	-4.06533463628417	13.8037809850417	1.08261152577743	0.914896271064972	11.9146648888637	6.39489199689289	0.110256758567119	0.179707632098046	0.00309840744996631	-4.32351417366638	0.23433132200167	2.85884212842037	12.4745249028868	2450.58616195212	10.2259252721677	3.78039259865011	0.0651791827353468	3.34971404448621	0.60993536143611	0.0105161269213122	-1.24535388681051	1.04617666300577
157	Cefuroxime	2.04470657982648	0.13564429732141	0.000182688546283044	-9.21727841557376	49146.36695698	148.315614435892	0.412383550854569	6.57479197727106	2.11023273330335	0.0479598348478034	1.42705356375929	0.179374754108394	0.00407669895700895	-3.28345019756056	12.0723315813622	1.07221804727943	0.976771005779937	11.2807926462965	5.57184846772143	0.126632919720942	0.0131585151307546	0.000299057162062605	-8.27548970954599	0.201355291664249	2.31558585413886	11.9912669976314	1800.20727815566	11.5596011656781	2.78179518307338	0.0632226177971223	1.95503066338382	0.675210382809831	0.0153456905184053	-0.75046790773078	1.04121554376087
158	Cephaloglycin	2.29461331185133	0.135855757288942	0.000306129233386562	-8.51615187620127	42414.2610678501	150.262748405407	0.423433996270205	6.86560055686727	2.55555881707718	0.0555556264581995	1.87443505188792	0.113798252512361	0.00247387505461653	-4.3417762718421	13.2254372764989	1.05983648049973	0.928604980957535	11.2628528162737	5.64613107788321	0.122741979953983	0.030879068718157	0.000671284102568631	-6.94754470772056	0.223610456684836	2.68332548021804	11.932747396229	1677.57125731883	10.9956565572778	4.06179127309598	0.0882998102846952	2.80010096994933	0.256321818762035	0.0055722134513486	-2.7195863503845	1.03653519855836
159	Cefaclor	2.16864691661886	0.15240364636617	0.00408799923414232	-3.03506363962284	21012.69042528	107.016555913087	0.413529830721416	6.50727061044025	2.1682637754354	0.0586017236604161	1.24361482267034	0.148481746585104	0.00401302017797579	-3.06480965027143	10.4422804190723	1.06909849720886	0.966260597823435	10.7285948188021	4.94431008786774	0.133630002374804	0.0000448421260563214	1.21194935287355E-6	-16.0887610777785	0.176885612906002	1.72463472583352	12.408883344312	1862.54616928668	15.8093146365759	3.96578803530916	0.107183460413761	2.21381914326979	0.256780118413845	0.00694000320037418	-2.18462283925377	1.04539024986039
160	Cephaloglycin	2.30419627879784	0.135686098303946	0.000258681504389383	-8.8525932356144	41694.7627063	150.603143815911	0.422821040058497	6.84583108728641	2.56573958120342	0.0557769474174657	1.88237784051121	0.112031120503414	0.00243545914137857	-4.3730420734539	13.252199892852	1.05778466324136	0.92740875685978	11.2590748118403	5.82026878230512	0.126527582224024	0.0938915534217944	0.00204112072656075	-4.72591798749913	0.223526655612379	2.68231986734854	11.9307360507852	1677.49742120045	10.9557714074071	4.03168163661319	0.087645252969852	2.78523666053145	0.257370068608805	0.00559500149149577	-2.71143302373421	1.03653414225189
161	Cyclacillin	2.36450612208833	0.137872388575791	0.00347688044581048	-3.66184108968442	42627.77288514	133.031731541906	0.435792752696038	7.44442704771727	2.22645677879064	0.0484012343215356	1.59902563640912	0.221385171782378	0.00481272112570386	-3.0123167675723	12.2125555673156	1.04527348156927	0.992571358747097	11.4622400197545	5.34105209908387	0.116109828240954	0.0689060800771602	0.00149795826254696	-5.34401529524357	0.269664889972284	3.23597867966741	11.8135077708204	1424.69200827098	10.484237558088	4.45270186505151	0.0967978666315546	2.98366864049408	1.17267295645245	0.025492890357662	0.318213785096814	1.03746819305729
162	Cephaloridine	1.73459848638474	0.13287782218974	0.00476148832613608	-3.01070143047694	52576.8478354599	126.82128373282	0.41571104946676	6.72422592039265	3.8441745152628	0.0854261003391734	2.63161392864471	0.0971922526480394	0.0021598278366231	-4.55565758404947	10.1497310166233	1.0774460795903	0.987330718489391	11.3805421687657	5.62719941996488	0.12504887599922	0.0795082683650229	0.00176685040811162	-4.94814467282429	0.219184480142319	2.10417100936626	12.3299471909086	1954.7337091854	12.0477036331836	3.9013771862174	0.0866972708048311	2.66048073023108	0.705006369622134	0.0156668082138252	-0.683131316437124	1.05940475811429
163	Cefacetrile	2.57326451314943	0.148774813705062	0.0036549185318939	-3.12568989134022	20924.78202232	123.570413627366	0.408871585727654	6.35373127943405	2.31067133208803	0.0660191809168008	1.27308361668855	0.250862114376002	0.00716748898217148	-2.10197722569105	12.2689389155596	1.05122222791967	0.980509554001946	10.6050836693377	4.98647024134017	0.142470578324005	0.0381804004911235	0.00109086858546067	-4.96355832143981	0.172852943730052	2.07423532476062	11.8582754289063	1484.41600615981	13.9887751367654	3.06699166555218	0.0876283333014909	1.70349408531149	0.905431907925295	0.0258694830835799	-0.151004716769848	1.02168366533627
164	Cephaloridine	1.74202033071835	0.132629904817228	0.00401753869755345	-3.3427233790991	51951.99086062	126.591877433415	0.416669396433793	6.72984063290183	3.90765120323072	0.086836693405127	2.66362106251927	0.130346968758885	0.00289659930575301	-3.98204578786898	10.174311552877	1.08764244251572	0.984648706270731	11.3723642944613	5.34040894601644	0.118675754355921	0.0337620040185421	0.000750266755967602	-6.62207302246594	0.218858643703763	2.10104297955613	12.3329124271603	1954.84045061905	12.1520711463552	3.91933455947144	0.0870963235438098	2.66945551649821	0.7307173163573	0.0162381625857178	-0.613127703285774	1.05938284540405
165	Nocardicin B	2.39330880469176	0.118490150126627	0.00314508894778825	-4.31593882986712	103155.5693634	229.103285701743	0.436880717054781	7.3173812616252	2.15166208186453	0.0364688488451615	1.96336699223726	0.240746564311339	0.00408045024256507	-3.6487954215978	17.6893378110773	1.04413898769071	0.87660935985554	11.8383304372171	5.80482210425873	0.0983868153264192	0.00567890141311672	0.0000962525663240122	-13.2498404570805	0.263059771311245	4.01166151249649	11.4315313837432	1756.62414684026	6.44719782785803	3.52164184768677	0.059688844876047	3.22579659718361	1.09050171504301	0.0184830799159832	0.221995482313865	1.02976834171749
