No.	NAME	SsCH3	SssCH2	SdsCH	SsssCH	SdssC	SaasC	SssssC	SsssN	SaaN	SaaS	NssCH2	NdsCH	NaaCH	NdssC	NaasC	NssssC	NsNH2	NssNH	NsssN	NdsN	NsNH3+	NaasN	NsOH	minssCH2	minsssCH	mindssC	minaasC	minsssN	mindO	MaxsCH3	MaxssCH2	MaxaaCH	MaxsssCH	MaxdssC	MaxaasC	MaxssNH	MaxsssN	MaxaaN	MaxsOH	MaxssO	gmax
187	Cefotaxime	2.43580153901267	-0.0891740969311663	0	-1.66213836923658	-3.81786408196325	0.39828302148548	0	1.01512148841018	3.97146879226484	1.10053566115643	2	0	1	7	2	0	1	1	1	1	0	0	0	-0.268784891279515	-0.995218306458386	-1.56929495081371	0.176633719734682	1.01512148841018	11.0196715609597	1.24782054663916	0.179610794348348	1.50918999640233	-0.666920062778198	0.239962418800803	0.221649301750798	2.52328551482321	1.01512148841018	3.97146879226484	0	4.85065342250414	12.647069072502
188	Cefmetazole	2.92942536013	0.642662881295464	0	-0.751794873813722	-2.4074255336381	0.495951983284252	-1.66484166351726	1.0838458207357	11.0735645291712	0	4	0	0	5	1	1	0	1	1	0	0	1	0	-0.0276338919125301	-0.751794873813722	-1.48523552907797	0.495951983284252	1.0838458207357	11.8353941290022	1.65824732063035	0.291867929449098	0	-0.751794873813722	0.484449372660502	0.495951983284252	2.54914714207283	1.0838458207357	3.83486942671118	0	5.34115991825768	12.9070996315193
189	Cefuroxime	1.24608868722873	-0.253052889186998	0	-1.68560080204922	-4.49790656150772	0.130077177985833	0	0.980319822373394	0	0	2	0	3	7	1	0	1	1	1	1	0	0	0	-0.386596445498412	-1.00233596833795	-1.60303980504558	0.130077177985833	0.980319822373394	10.7809573461071	1.24608868722873	0.133543556311414	1.54923683537688	-0.683264833711263	0.167033891099548	0.130077177985833	2.50000887083228	0.980319822373394	0	0	4.64592262708195	12.5425992063492
190	Cefazolin	1.83452766684843	0.625187529032954	0	-1.30176738416773	-1.885056140623	1.54200371125151	0	1.18721387629126	18.3858120437366	1.41460958662098	3	0	1	5	2	0	0	1	1	0	0	1	0	-0.138387712013878	-0.807087127805924	-1.41096228358449	0.724535480781249	1.18721387629126	11.7365097686738	1.83452766684843	0.404675138573948	1.28192998128517	-0.494680256361804	0.579555059155078	0.817468230470263	2.61343498806522	1.18721387629126	4.00320213805929	0	0	12.5702996488107
191	SCE-796	0	0.334273028964309	0	-3.46008428184072	-5.27769450063296	0.483538053153787	0	1.04033640925506	0	0	2	0	9	7	2	0	1	1	1	0	0	1	0	0.114728090427217	-1.62673285199218	-1.61980392612276	0.196214592395755	1.04033640925506	11.2377388224771	0	0.219544938537092	1.6622162918761	-0.732856414068536	0.4010181359045	0.287323460758032	2.4293606779139	1.04033640925506	0	0	0	12.8442834212044
192	Cephalosporin C	0	0.358095713032235	0.175006419257689	-2.40693234248249	-4.01572561969651	0	0	1.01392270099296	0	0	5	1	0	6	0	0	0	1	1	0	1	0	0	-0.265879427899803	-0.921024210711259	-1.56324701115532	0	1.01392270099296	10.3045792276342	0	0.257733379775331	0	-0.598943531116151	0.240966896630018	0	2.5279972915092	1.01392270099296	0	0	4.56614465343993	12.3032966689762
193	Ceftriaxone	2.66112025360599	0.235790787170623	0	-1.7253048134492	-5.0752718353041	0.368899274924752	0	2.15837196512063	3.98956390285809	1.0903705400865	2	0	1	9	2	0	1	1	2	2	0	0	0	0.0415628033538944	-1.02742728034485	-1.566214252485	0.161036025073551	1.04539097274712	11.3177087432045	1.41984389720709	0.194227983816728	1.5026790660498	-0.697877533104356	0.346674436941393	0.207863249851202	2.5441240519336	1.11298099237351	3.98956390285809	0	4.71020964703699	12.8820826936912
194	Nocardicin B	0	0.0721825567930852	0	-3.37516957292075	-4.74206652983284	0.714799025124864	0	1.00531079912105	0	0	3	0	8	5	4	0	0	1	1	1	1	0	2	-0.130232653812858	-1.40712407578848	-1.52399815609673	-0.0750234458993995	1.00531079912105	10.6732364642739	0	0.132754074186435	1.47544720486144	-0.921884136667844	-0.391148490808934	0.369778760831649	2.39794786204821	1.00531079912105	0	9.38711191703095	5.40617978836166	12.6082962633707
195	Ceftriaxone	2.66112025360599	0.235790787170623	0	-1.7253048134492	-5.0752718353041	0.368899274924752	0	2.15837196512063	3.98956390285809	1.0903705400865	2	0	1	9	2	0	1	1	2	2	0	0	0	0.0415628033538944	-1.02742728034485	-1.566214252485	0.161036025073551	1.04539097274712	11.3177087432045	1.41984389720709	0.194227983816728	1.5026790660498	-0.697877533104356	0.346674436941393	0.207863249851202	2.5441240519336	1.11298099237351	3.98956390285809	0	4.71020964703699	12.8820826936912
196	Aztreonam	3.50566727299276	0	0	-2.43718465241035	-4.2544783425499	0.00763838014672391	-1.88877769429244	0.0885917507116101	3.84140705047451	0.959080400436371	0	0	1	4	2	1	1	1	1	1	0	0	0	0	-1.31337196607038	-1.60380834538437	-0.0677074278785583	0.0885917507116101	11.0095710992284	1.24518897293383	0	1.3368585180986	-1.12381268633997	-0.508605914588057	0.0753458080252822	2.20779809145881	0.0885917507116101	3.84140705047451	0	4.84782389035861	12.5308919123205
197	Imipenem	1.54636534706475	1.69342631960191	1.32286098851846	-1.54676740347195	-1.09453202422944	0	0	1.24755826404636	0	0	3	1	0	4	0	0	1	0	1	0	0	0	1	0.45994638133031	-0.773508422410389	-1.3419079638028	0	1.24755826404636	11.2322931626354	1.54636534706475	0.632846277399849	0	-0.257472075249853	0.629927248677249	0	0	1.24755826404636	0	9.58290455380959	0	11.9189017123149
198	Penicillin N	3.43837258003987	0.57917787211686	0	-3.09467202018293	-3.39419108045998	0	-0.700172059507151	1.24309314694912	0	0	3	0	0	4	0	1	0	1	1	0	1	0	0	0.0632680618543711	-1.02486795413247	-1.30843125151813	0	1.24309314694912	10.5426398549047	1.71918629001994	0.309105423805325	0	-0.427629755605947	-0.380690665154951	0	2.59000425170068	1.24309314694912	0	0	0	12.1634653197699
199	Ceftriaxone	2.66112025360599	0.235790787170623	0	-1.7253048134492	-5.0752718353041	0.368899274924752	0	2.15837196512063	3.98956390285809	1.0903705400865	2	0	1	9	2	0	1	1	2	2	0	0	0	0.0415628033538944	-1.02742728034485	-1.566214252485	0.161036025073551	1.04539097274712	11.3177087432045	1.41984389720709	0.194227983816728	1.5026790660498	-0.697877533104356	0.346674436941393	0.207863249851202	2.5441240519336	1.11298099237351	3.98956390285809	0	4.71020964703699	12.8820826936912
200	Cephaloglycin	1.2027240272436	-0.0136874788920314	0	-2.43276836339066	-3.2480473153377	0.596217053068015	0	1.05686224489796	0	0	2	0	5	6	1	0	1	1	1	0	0	0	0	-0.238041956985687	-0.951554581581638	-1.53558748473882	0.596217053068015	1.05686224489796	10.986682169526	1.2027240272436	0.224354478093655	1.79298865256694	-0.589443132191148	0.273669884875693	0.596217053068015	2.59086110061308	1.05686224489796	0	0	4.85103649957803	12.5131632653061
201	LY097964	2.90225232354811	0.422388572126126	0	-1.40246569769883	-2.32239349470275	0.47452619782481	0	1.13665304547745	3.97822535918	1.12977873544071	1	0	1	6	2	0	1	1	1	1	0	0	0	0.422388572126126	-0.881491874527589	-1.41156535897698	0.220315806878308	1.13665304547745	11.2957283612477	1.62850671753609	0.422388572126126	1.5390122491579	-0.520973823171244	0.545332789171173	0.254210390946502	2.55841836734694	1.13665304547745	3.97822535918	0	4.6750352399658	12.5270968757874
202	Cefacetrile	1.18806180962809	-0.411392748214989	0	-1.4679663223314	-3.39102582819484	0	0	1.01354213907785	0	0	3	0	0	6	0	0	0	1	1	0	0	0	0	-0.386854388296488	-0.88381902452339	-1.54851534286554	0	1.01354213907785	10.8529482545678	1.18806180962809	0.217917139077853	0	-0.584147297808013	0.260742026748972	0	2.3960273893508	1.01354213907785	0	0	4.78301602701585	12.116220553036
203	Ampicillin	3.49666614176535	0	0	-3.06614807934703	-2.16249418877846	0.64411660420341	-0.680373280969872	1.27677343159486	0	0	0	0	5	3	1	1	1	1	1	0	0	0	0	0	-1.00375106498573	-1.28322826327246	0.64411660420341	1.27677343159486	11.3490491574944	1.74833307088267	0	1.81823902425259	-0.414515411102713	-0.415845668514319	0.64411660420341	2.64375283446712	1.27677343159486	0	0	0	12.3127654950869
204	Ceftriaxone	2.66112025360599	0.235790787170623	0	-1.7253048134492	-5.0752718353041	0.368899274924752	0	2.15837196512063	3.98956390285809	1.0903705400865	2	0	1	9	2	0	1	1	2	2	0	0	0	0.0415628033538944	-1.02742728034485	-1.566214252485	0.161036025073551	1.04539097274712	11.3177087432045	1.41984389720709	0.194227983816728	1.5026790660498	-0.697877533104356	0.346674436941393	0.207863249851202	2.5441240519336	1.11298099237351	3.98956390285809	0	4.71020964703699	12.8820826936912
205	Cyclacillin	3.56868703461642	4.51662591849055	0	-1.94929497879399	-1.77354066555839	0	-1.29452215608466	1.33489969135802	0	0	5	0	0	3	0	2	0	1	1	0	1	0	0	0.730586905286806	-0.956903397161334	-1.24626340743291	0	1.33489969135802	11.3641732947388	1.78434351730821	1.11175074241001	0	-0.336536517384732	-0.189346182917611	0	2.81822467876039	1.33489969135802	0	0	0	12.5516506046863
