Canonical SMILES,Charge,name,Permeability coefficient,Accum_class
O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2,neutral,2-81,53.0,Low
O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](C=O)(C3)CC2,neutral,2-82,52.0,Low
O=C(NCC1CCCCC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2,neutral,2-83,50.0,Low
O=C(OCC)CCNC(=O)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,2-84,48.0,Low
O=C(OCC=C)N[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)C=C[C@@]2(OC3=O)[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,2-85,46.0,Low
O=C(OCC)CCNC(=O)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21,neutral,2-86,46.0,Low
O=C1[C@@H]2[C@]3(C)[C@]4(O[C@H]4C[C@H]2[C@H]2[C@@](C)(C4(OCCO4)CC2)C1)CC1(OCCO1)CC3,neutral,2-87,44.0,Low
O=C1[C@@H]2[C@]3(C)C(=CC[C@H]2[C@H]2[C@@](C)(C4(OCCO4)CC2)C1)CC1(OCCO1)CC3,neutral,2-88,40.0,Low
O[C@@H]1[C@@H]2[C@]3(C)C(=CC[C@H]2[C@H]2[C@@](C)(C4(OCCO4)CC2)C1)CC1(OCCO1)CC3,neutral,2-89,40.0,Low
O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,neutral,2-90,33.0,Low
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](OS(=O)(=O)C)[C@H]2OC1)C,neutral,2-91,31.0,Low
