Canonical SMILES,name
COc(c1)ccc2c1c([C@H]([C@H]3[NH+]4C[C@@H]([C@@H](CC4)C3)C=C)O)ccn2,2-30
COc1ccc2nccc([C@@H](O)[C@H]3[NH+]4C[C@H](C=C)[C@H](C3)CC4)c2c1,2-31
COc1ccc(C[C@@H]2[N@H+](CC[C@@]34[C@@H]2C=C(C(C4)=O)OC)C)c3c1O,2-32
COC1=C[C@H]([C@H](C=C2C3=C(C(C=C2)=O)O)[N@H+](CC4)C)[C@]43CC1=O,2-33
COc1ccc2c3c1O[C@H]4[C@@]53[C@H](CCOC(NC4)=O)[C@H](C2)[NH+](CC5)C,2-34
COc1ccc(C[C@@H]2[N@H+](CC[C@@]34[C@@H]2C=C(/C(C4)=N/O)OC)C)c3c1O,2-35
COC(C(C[C@@](c1c2ccc3c1OCO3)4CC[NH+](C)C)=O)=CC4=CC2=O,2-36
COc1ccc(C=CC([C@@]23C[C@@]([NH+](CC3)C)4O)=CC4=O)c2c1O,2-37
COc1ccc(C([C@@H]2[N@H+](CC[C@@]34[C@@H]2C=C(/C(C4)=N/O)OC)C)=O)c3c1O,2-38
O=C(CC[C@]1(C(CC[C@@H]2[C@@H]1C(C[C@@]3(C(CC[C@@H]23)=O)C)=O)=O)C)NCCC[NH+](C)C,2-39
CO[C@H]1[C@@H]2[N@H+](CC[C@]3(C(C(C(OC)=C4)=O)=C1C4=O)[C@@H]2C=C(C(C3)=O)OC)C,2-40
COc1ccc2c([C@]3(C(C=C2)=Cc4c(C3)nc5ccccc5n4)CC[NH+](C)C)c1O,2-41
O=C([C@H]1c2c([C@@H]3[C@]14CC([C@](C4)(CC3)C)=O)cccc2C)[O-],2-42
O=C([C@H]1[C@@H]2[C@@](C)([C@H](C=CC2=C3[C@@]14CC([C@@](C4)(CC3)O)=C)O)C([O-])=O)[O-],2-43
O=C(CC[C@]1(C(CC[C@@H]2[C@@H]1C(C[C@@]3(C(CC[C@@H]23)=O)C)=O)=O)C)[O-],2-44
O=C(CO[C@H]1[C@H]2OC[C@@H]([C@H]2OC1)N=[N+]=[N-])[O-],2-45
O=C([C@H]1c2c([C@@H]3[C@]14CC([C@](C4)(CC3)CO)=O)cccc2C)[O-],2-46
